Service Code,Desc.,Price as of 01/08/2024,Price as of 01/08/2025 and onward,Gross/Net,Discount % Yes/No,MCA Category Code,Service Category Description,Nphies Code,Nphies Description
8121011,X-RAY BONE AGE (CHILDREN),141.75,148.5,Gross,yes,98.0,Portal X-Ray,58306-00-00,Radiography of whole skeleton
8121012,X-RAY BOTH KNEES,273,286,Gross,yes,98.0,Portal X-Ray,57518-01-12,"Radiography of knee, 1 or 2 views, bilateral"
8121013,X-RAY BOTH KNEES STANDING,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57518-01-12,"Radiography of knee, 1 or 2 views, bilateral"
8121014,X-RAY CERVICAL SPINE - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,58100-00-00,Radiography of cervical spine
8121015,X-RAY CERVICAL SPINE - 4 VIEWS,262.5,275,Gross,yes,98.0,Portal X-Ray,58100-00-00,Radiography of cervical spine
8121016,X-RAY CHEST - 1 VIEW,141.75,148.5,Gross,yes,98.0,Portal X-Ray,58500-00-10,"Radiography of chest, 1 view"
8121017,X-RAY CHEST - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,58500-00-20,"Radiography of chest, 2 views"
8121018,X-RAY CHEST - 3 VIEWS,210,220.00000000000003,Gross,yes,98.0,Portal X-Ray,58500-00-30,"Radiography of chest, 3 views"
8121019,X-RAY CLAVICLE - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57706-00-01,"Radiography of clavicle, unilateral"
8121020,CYSTOGRAM,367.5,385.00000000000006,Gross,yes,98.0,Portal X-Ray,60503-00-00,Fluoroscopy
8121021,DACRYOCYSTOGRAPHY,750.75,786.5000000000001,Gross,yes,98.0,Portal X-Ray,59703-00-00,Dacryocystography
8121022,X-RAY DORSAL SPINE/THORACIC SPINE - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,58103-00-00,Radiography of thoracic spine
8121023,X-RAY DORSAL SPINE/THORACIC SPINE 4 VIEWS,273,286,Gross,yes,98.0,Portal X-Ray,58103-00-00,Radiography of thoracic spine
8121024,X-RAY ELBOW - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57506-01-21,"Radiography of elbow, 3 or more views, unilateral"
8121025,X-RAY ELBOW - 3 VIEWS,210,220.00000000000003,Gross,yes,98.0,Portal X-Ray,57506-03-21,"Radiography of wrist, 3 or more views, unilateral"
8121026,X-RAY FEMUR/THIGH - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57518-00-11,"Radiography of femur, 1 or 2 views, unilateral"
8121027,X-RAY FEMUR/THIGH - 3 VIEWS,210,220.00000000000003,Gross,yes,98.0,Portal X-Ray,57518-00-21,"Radiography of femur, 2 or more views, unilateral"
8121028,X-RAY FINGER/THUMB - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57506-04-21,"Radiography of hand, 3 or more views, unilateral"
8121029,FISTULOGRAM,624.75,654.5,Gross,yes,98.0,Portal X-Ray,59739-03-00,Other sinography
8121030,FLOUROSCOPY SCREENING ,68.25,71.5,Gross,yes,98.0,Portal X-Ray,60503-00-00,Fluoroscopy
8121031,FLUOROSCOPY IN O.R (C-ARM),446.25,467.50000000000006,Gross,yes,98.0,Portal X-Ray,60503-00-00,Fluoroscopy
8121032,X-RAY FOOT - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57518-04-11,"Radiography of foot, 1 or 2 views, unilateral"
8121033,X-RAY FOOT - 3 TO 4 VIEWS,210,220.00000000000003,Gross,yes,98.0,Portal X-Ray,57518-04-21,"Radiography of foot, 3 or more views, unilateral"
8121034,X-RAY FOREARM (ULNA/RADIUS) 1 VIEW,141.75,148.5,Gross,yes,98.0,Portal X-Ray,57506-02-01,"Radiography of forearm, unilateral"
8121035,X-RAY FOREARM (ULNA/RADIUS) 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57506-02-01,"Radiography of forearm, unilateral"
8121036,X-RAY GASTRIC BANDING ADJUSTMENT,840,880.0000000000001,Gross,yes,98.0,Portal X-Ray,58900-00-90,Radiography of abdomen
8121037,X-RAY HAND - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57506-04-21,"Radiography of hand, 3 or more views, unilateral"
8121038,X-RAY HAND - 3 VIEWS,210,220.00000000000003,Gross,yes,98.0,Portal X-Ray,57506-04-21,"Radiography of hand, 3 or more views, unilateral"
8121039,X-RAY HAND - 4 VIEWS,262.5,275,Gross,yes,98.0,Portal X-Ray,57506-04-21,"Radiography of hand, 3 or more views, unilateral"
8121040,X-RAY HEEL (CALCANEUM) - 1 VIEW,141.75,148.5,Gross,yes,98.0,Portal X-Ray,57518-04-11,"Radiography of foot, 1 or 2 views, unilateral"
8121041,X-RAY HEEL (CALCANEUM) - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57518-04-11,"Radiography of foot, 1 or 2 views, unilateral"
8121042,X-RAY HIP - 1 VIEW,141.75,148.5,Gross,yes,98.0,Portal X-Ray,57712-00-11,"Radiography of hip joint, 1 view, unilateral"
8121043,X-RAY HIP - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57712-00-21,"Radiography of hip joint, 2-3 views, unilateral"
8121044,X-RAY HIP - 3 TO 4 VIEWS,262.5,275,Gross,yes,98.0,Portal X-Ray,57712-00-31,"Radiography of hip joint, 4 or more views, unilateral"
8121045,X-RAY HUMERUS UPPER ARM - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57506-00-01,"Radiography of humerus, unilateral"
8121046,X-RAY HUMERUS UPPER ARM - 3 VIEWS,210,220.00000000000003,Gross,yes,98.0,Portal X-Ray,57506-00-01,"Radiography of humerus, unilateral"
8121047,HYSTEROSALPHINGOGRAPHY,624.75,654.5,Gross,yes,98.0,Portal X-Ray,59712-00-00,Hysterosalpingography
8121048,HYSTEROSALPHINGOGRAPHY UNDER ANAESTHESIA,1517.25,1589.5000000000002,Gross,yes,98.0,Portal X-Ray,59712-00-00,Hysterosalpingography
8121049,I.V.P. (INTRAVENOUS PYELOGRAM) - 7 VIEWS,624.75,654.5,Gross,yes,98.0,Portal X-Ray,58706-00-00,Intravenous pyelography
8121050,INTRA-OPERATIVE CHOLOANGIOGRAM (I.O.C),525,550,Gross,yes,98.0,Portal X-Ray,30439-00-00,Intraoperative cholangiography
8121051,X-RAY KNEE - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57518-01-11,"Radiography of knee, 1 or 2 views, unilateral"
8121052,X-RAY KNEE - 3 VIEWS,210,220.00000000000003,Gross,yes,98.0,Portal X-Ray,57518-01-21,"Radiography of knee, 3 views, unilateral"
8121053,X-RAY KUB/ABDOMEN - 1 VIEW,141.75,148.5,Gross,yes,98.0,Portal X-Ray,58900-00-90,Radiography of abdomen
8121054,X-RAY KUB/ABDOMEN - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,58900-00-90,Radiography of abdomen
8121055,X-RAY LEG - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57518-02-01,"Radiography of leg, unilateral"
8121056,X-RAY LEG - 3 VIEWS,210,220.00000000000003,Gross,yes,98.0,Portal X-Ray,57518-02-01,"Radiography of leg, unilateral"
8121057,X-RAY LUMBAR/LUMBO SACRAL SPINE - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,58106-00-00,Radiography of lumbosacral spine
8121058,X-RAY LUMBAR/LUMBO SACRAL SPINE - 4 VIEWS,262.5,275,Gross,yes,98.0,Portal X-Ray,58106-00-00,Radiography of lumbosacral spine
8121059,MAMMARY DUCTOGRAM / GALACTOGRAM ,945,990.0000000000001,Gross,yes,98.0,Portal X-Ray,59306-00-00,"Mammary ductography of breast, unilateral"
8121060,MAMMOGRAPHY (1 BREAST),525,550,Gross,yes,98.0,Portal X-Ray,59303-00-00,"Radiography of breast, unilateral"
8121061,MAMMOGRAPHY (2 BREASTS),624.75,654.5,Gross,yes,98.0,Portal X-Ray,59300-00-00,"Radiography of breast, bilateral"
8121062,X-RAY MANDIBLE/JAW - 1 VIEW,141.75,148.5,Gross,yes,98.0,Portal X-Ray,57915-00-00,Radiography of mandible
8121063,X-RAY MANDIBLE/JAW - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57915-00-00,Radiography of mandible
8121064,X-RAY MANDIBLE/JAW - 3 VIEWS,210,220.00000000000003,Gross,yes,98.0,Portal X-Ray,57915-00-00,Radiography of mandible
8121065,X-RAY MASTOIDS - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57906-00-01,"Radiography of mastoid bone, unilateral"
8121066,X-RAY MASTOIDS - 3 VIEWS,210,220.00000000000003,Gross,yes,98.0,Portal X-Ray,57906-00-01,"Radiography of mastoid bone, unilateral"
8121067,X-RAY MASTOIDS - 4 VIEWS,262.5,275,Gross,yes,98.0,Portal X-Ray,57906-00-01,"Radiography of mastoid bone, unilateral"
8121068,MCU (ALONG WITH IVP),262.5,275,Gross,yes,98.0,Portal X-Ray,58706-00-00,Intravenous pyelography
8121069,MCU (MICURATUG URETHROGRAM),446.25,467.50000000000006,Gross,yes,98.0,Portal X-Ray,58721-00-00,Retrograde micturating cystourethrography
8121070,X-RAY NASAL BONES/SINUSES - 1 VIEW,141.75,148.5,Gross,yes,98.0,Portal X-Ray,57903-00-00,Radiography of paranasal sinus
8121071,X-RAY NASAL BONES/SINUSES - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57903-00-00,Radiography of paranasal sinus
8121072,X-RAY NASAL BONES/SINUSES - 4 VIEWS,262.5,275,Gross,yes,98.0,Portal X-Ray,57903-00-00,Radiography of paranasal sinus
8121073,X-RAY NECK - 1 VIEW,141.75,148.5,Gross,yes,98.0,Portal X-Ray,57945-00-00,Radiography of larynx
8121074,X-RAY NECK - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57945-00-00,Radiography of larynx
8121075,X-RAY OESOPHAGUS (BARIUM SWALLOW),446.25,467.50000000000006,Gross,yes,98.0,Portal X-Ray,58909-00-00,"Opaque meal of pharynx, oesophagus, stomach or duodenum"
8121076,X-RAY ORBIT - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57912-00-00,Radiography of other facial bone
8121077,X-RAY ORBIT - 4 VIEWS,262.5,275,Gross,yes,98.0,Portal X-Ray,57912-00-00,Radiography of other facial bone
8121078,X-RAY PATTELA - 1 VIEW,141.75,148.5,Gross,yes,98.0,Portal X-Ray,57518-01-11,"Radiography of knee, 1 or 2 views, unilateral"
8121079,X-RAY PELVIS - 1 VIEW,141.75,148.5,Gross,yes,98.0,Portal X-Ray,57715-00-00,Radiography of pelvis
8121080,X-RAY PELVIS - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57715-00-00,Radiography of pelvis
8121081,X-RAY PORTABLE BILATERAL LOWER EXTERIMETIES ,635.25,665.5,Gross,yes,98.0,Portal X-Ray,57518-02-02,"Radiography of leg, bilateral"
8121082,X-RAY PORTABLE BILATERAL UPPER EXTERIMETIES ,635.25,665.5,Gross,yes,98.0,Portal X-Ray,57506-00-02,"Radiography of humerus, bilateral"
8121083,X-RAY PORTABLE CHEST X-RAY 1 VIEW,231,242.00000000000003,Gross,yes,98.0,Portal X-Ray,58500-00-10,"Radiography of chest, 1 view"
8121084,X-RAY PORTABLE UNILATERAL LOWER EXTERIMETIES ,362.25,379.50000000000006,Gross,yes,98.0,Portal X-Ray,57518-02-01,"Radiography of leg, unilateral"
8121085,X-RAY PORTABLE UNILATERAL UPPER EXTERIMETIES ,362.25,379.50000000000006,Gross,yes,98.0,Portal X-Ray,57506-00-01,"Radiography of humerus, unilateral"
8121086,X-RAY PORTABLE X-RAY 1 VIEW,231,242.00000000000003,Gross,yes,98.0,Portal X-Ray,90909-00-00,Radiography of other region
8121087,X-RAY PORTABLE X-RAY 2 VIEW,267.75,280.5,Gross,yes,98.0,Portal X-Ray,90909-00-00,Radiography of other region
8121088,X-RAY PORTABLE X-RAY 3 VIEW,299.25,313.5,Gross,yes,98.0,Portal X-Ray,90909-00-00,Radiography of other region
8121089,X-RAY PORTABLE X-RAY 4 VIEW,362.25,379.50000000000006,Gross,yes,98.0,Portal X-Ray,90909-00-00,Radiography of other region
8121090,X-RAY POSTIRIOR NASAL SPACE/FACIAL (NASOPHARYNX),141.75,148.5,Gross,yes,98.0,Portal X-Ray,57903-00-00,Radiography of paranasal sinus
8121091,RETROGRADE (ASCENDING) URETHROGRAM,446.25,467.50000000000006,Gross,yes,98.0,Portal X-Ray,58718-01-00,Retrograde urethrography
8121092,RETROGRADE PYELOGRAPHY BILATERAL,624.75,654.5,Gross,yes,98.0,Portal X-Ray,58715-01-00,Retrograde pyelography
8121093,RETROGRADE PYELOGRAPHY UNILATERAL,624.75,654.5,Gross,yes,98.0,Portal X-Ray,58715-01-00,Retrograde pyelography
8121094,X-RAY RIBS - 1 VIEW,141.75,148.5,Gross,yes,98.0,Portal X-Ray,58521-01-00,"Radiography of ribs, unilateral"
8121095,X-RAY RIBS - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,58521-01-00,"Radiography of ribs, unilateral"
8121096,X-RAY SACRO ILIAC JOINT - 2VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57715-00-00,Radiography of pelvis
8121097,X-RAY SACRUM - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57715-00-00,Radiography of pelvis
8121098,X-RAY SCAPHOID - 1 VIEW,141.75,148.5,Gross,yes,98.0,Portal X-Ray,57506-03-11,"Radiography of wrist, 1 or 2 views, unilateral"
8121099,X-RAY SCAPHOID SERIES,273,286,Gross,yes,98.0,Portal X-Ray,57506-03-11,"Radiography of wrist, 1 or 2 views, unilateral"
8121100,X-RAY SHOULDER/SCAPULA - 1 VIEW,141.75,148.5,Gross,yes,98.0,Portal X-Ray,57700-00-11,"Radiography of shoulder or scapula, 1 view, unilateral"
8121101,X-RAY SHOULDER/SCAPULA - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57700-00-21,"Radiography of shoulder or scapula, 2 or more views, unilateral"
8121102,X-RAY SHOULDER/SCAPULA - 3 VIEWS,210,220.00000000000003,Gross,yes,98.0,Portal X-Ray,57700-00-21,"Radiography of shoulder or scapula, 2 or more views, unilateral"
8121103,X-RAY SIALOGRAM ONE SIDE (SALIVARY),446.25,467.50000000000006,Gross,yes,98.0,Portal X-Ray,57918-00-00,Radiography of salivary gland
8121104,X-RAY SIALOGRAM TWO SIDES (SALIVARY),624.75,654.5,Gross,yes,98.0,Portal X-Ray,57918-00-00,Radiography of salivary gland
8121105,X-RAY SINOGRAM,446.25,467.50000000000006,Gross,yes,98.0,Portal X-Ray,59739-03-00,Other sinography
8121106,X-RAY SKELETAL SURVEY,813.75,852.5000000000001,Gross,yes,98.0,Portal X-Ray,58306-00-00,Radiography of whole skeleton
8121107,X-RAY SKULL - 1 VIEW,141.75,148.5,Gross,yes,98.0,Portal X-Ray,57901-00-10,"Radiography of skull, 1 to 3 views"
8121108,X-RAY SKULL - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57901-00-10,"Radiography of skull, 1 to 3 views"
8121109,X-RAY SKULL - 3 VIEWS,210,220.00000000000003,Gross,yes,98.0,Portal X-Ray,57901-00-10,"Radiography of skull, 1 to 3 views"
8121110,X-RAY SKULL - 4 VIEWS,273,286,Gross,yes,98.0,Portal X-Ray,57901-00-20,"Radiography of skull, 4 or more views"
8121111,STEREOTACTIC BIOPSY OF THE BREAST,6300,6600.000000000001,Gross,yes,98.0,Portal X-Ray,90724-00-01,"Breast stereotactic localisation, unilateral"
8121112,X-RAY STERNUM - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,58521-00-00,Radiography of sternum
8121113,X-RAY SUBMANDIBULAR GLAND - 1 VIEW,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57918-00-00,Radiography of salivary gland
8121114,X-RAY SUBMANDIBULAR GLAND - 3 VIEWS,210,220.00000000000003,Gross,yes,98.0,Portal X-Ray,57918-00-00,Radiography of salivary gland
8121115,T.TUBE CHOLANGLOGRAM,446.25,467.50000000000006,Gross,yes,98.0,Portal X-Ray,58936-00-00,Drip infusion cholangiography
8121116,T.TUBE PYELOGRAM (NEPHROSTOGRAM),446.25,467.50000000000006,Gross,yes,98.0,Portal X-Ray,58715-00-00,Antegrade pyelography
8121117,X-RAY TEMPMANDIBULAR JOINT IMAGE - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57927-00-01,"Radiography of temporomandibular joint, unilateral"
8121118,X-RAY UNILATERAL LOWER EXTERIMETIES ,451.5,473.00000000000006,Gross,yes,98.0,Portal X-Ray,57518-02-01,"Radiography of leg, unilateral"
8121119,X-RAY UNILATERAL UPPER EXTERIMETIES ,451.5,473.00000000000006,Gross,yes,98.0,Portal X-Ray,57506-01-21,"Radiography of elbow, 3 or more views, unilateral"
8121120,VOIDING URETHROGRAM,624.75,654.5,Gross,yes,98.0,Portal X-Ray,58700-00-00,Radiography of urinary tract
8121121,X-RAY WRIST - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57506-03-11,"Radiography of wrist, 1 or 2 views, unilateral"
8121122,X-RAY WRIST - 4 VIEWS,262.5,275,Gross,yes,98.0,Portal X-Ray,57506-03-21,"Radiography of wrist, 3 or more views, unilateral"
8121123,X-RAY ZYGOMATIC ARCHS - 2 VIEWS,178.5,187.00000000000003,Gross,yes,98.0,Portal X-Ray,57912-00-00,Radiography of other facial bone
8121124,ADDITIONAL CD COPY,105,110.00000000000001,Gross,yes,98.0,Portal X-Ray,83700-00-00,Unlisted services yet to be defined.
8122001,ULTRASOUND ONE ORGAN,409.5,429.00000000000006,Gross,yes,98.0,Portal X-Ray,90908-00-00,Ultrasound of other site
8122002,ULTRASOUND ANY ADDITIONAL ORGAN (EACH),68.25,71.5,Gross,yes,98.0,Portal X-Ray,90908-00-00,Ultrasound of other site
8122003,ANTENATAL SCAN,409.5,429.00000000000006,Gross,yes,98.0,Portal X-Ray,83700-00-00,Unlisted services yet to be defined.
8122005,ULTRASOUND SCAN FOR BIOPHYSICAL PREGNANCY,892.5,935.0000000000001,Gross,yes,98.0,Portal X-Ray,55700-01-00,Ultrasound for fetal growth measurement
8122006,ULTRASOUND GUIDED CV LINE INSERTION,840,880.0000000000001,Gross,yes,98.0,Portal X-Ray,13815-01-00,Percutaneous central vein catheterisation
8122007,TRANSRECTAL ULTRASOUND OF PROSTATE / SEMINAL VESCICLES,682.5,715.0000000000001,Gross,yes,98.0,Portal X-Ray,55600-00-00,"Ultrasound of prostate, bladder base and urethra"
8122008,TRANSRECTAL ULTRASOUND OF PROSTATE / SEMINAL VESCICLES + BIOPSY,6300,6600.000000000001,Gross,yes,98.0,Portal X-Ray,55600-00-00,"Ultrasound of prostate, bladder base and urethra"
8122009,TRANSVAGINAL ULTRASOUND,630,660,Gross,yes,98.0,Portal X-Ray,55065-00-10,Transvaginal ultrasound
8122010,ULTRASOUND ABDOMEN ,614.25,643.5,Gross,yes,98.0,Portal X-Ray,55036-00-00,Ultrasound of abdomen
8122011,ULTRASOUND PELVIS,498.75,522.5,Gross,yes,98.0,Portal X-Ray,55065-00-00,Ultrasound of pelvis
8122012,ULTRASOUND ABDOMEN AND PELVIC,682.5,715.0000000000001,Gross,yes,98.0,Portal X-Ray,55036-00-00,Ultrasound of abdomen
8122013,ULTRASOUND BRAIN,498.75,522.5,Gross,yes,98.0,Portal X-Ray,55028-00-00,Ultrasound of head
8122014,ULTRASOUND CHEST ,498.75,522.5,Gross,yes,98.0,Portal X-Ray,55812-00-00,Ultrasound of chest or abdominal wall
8122015,ULTRASOUND GALL BLADDER ,498.75,522.5,Gross,yes,98.0,Portal X-Ray,55036-00-00,Ultrasound of abdomen
8122016,ULTRASOUND HIP UNILATERAL,498.75,522.5,Gross,yes,98.0,Portal X-Ray,55816-00-01,"Ultrasound of hip, unilateral"
8122017,ULTRASOUND HIP BILATERAL,498.75,522.5,Gross,yes,98.0,Portal X-Ray,55816-00-02,"Ultrasound of hip, bilateral"
8122018,ULTRASOUND KUB ,546,572,Gross,yes,98.0,Portal X-Ray,55038-00-00,Ultrasound of urinary tract
8122019,ULTRASOUND LIVER,498.75,522.5,Gross,yes,98.0,Portal X-Ray,55036-00-00,Ultrasound of abdomen
8122020,ULTRASOUND LYMPHHONODES ,498.75,522.5,Gross,yes,98.0,Portal X-Ray,90908-00-00,Ultrasound of other site
8122021,ULTRASOUND NECK,498.75,522.5,Gross,yes,98.0,Portal X-Ray,55032-00-00,Ultrasound of neck
8122022,ULTRASOUND ONE BREAST,525,550,Gross,yes,98.0,Portal X-Ray,55070-00-00,"Ultrasound of breast, unilateral"
8122023,ULTRASOUND PANCREAS,498.75,522.5,Gross,yes,98.0,Portal X-Ray,55036-00-00,Ultrasound of abdomen
FMLAB-9093,Anti Thyroid Peroxidase Abs (Tpo),640,672,Gross,yes,31.0,Portal Laboratory,73100-17-20,
8122025,ULTRASOUND PELVIS FOR FOLLICLE MONITORING,819,858.0000000000001,Gross,yes,98.0,Portal X-Ray,55065-00-10,Transvaginal ultrasound
8122026,ULTRASOUND PROSTATE,498.75,522.5,Gross,yes,98.0,Portal X-Ray,55600-00-00,"Ultrasound of prostate, bladder base and urethra"
8122027,ULTRASOUND RETRO PERITONEUM,498.75,522.5,Gross,yes,98.0,Portal X-Ray,55036-00-00,Ultrasound of abdomen
8122028,ULTRASOUND SHOULDER ,498.75,522.5,Gross,yes,98.0,Portal X-Ray,55808-00-01,"Ultrasound of shoulder or upper arm, unilateral"
8122029,ULTRASOUND SPLEEN,498.75,522.5,Gross,yes,98.0,Portal X-Ray,55036-00-00,Ultrasound of abdomen
8122030,ULTRASOUND TENDON & JOINT (ONE),840,880.0000000000001,Gross,yes,98.0,Portal X-Ray,90908-00-00,Ultrasound of other site
8122031,ULTRASOUND TENDON & JOINT (TWO),1050,1100,Gross,yes,98.0,Portal X-Ray,90908-00-00,Ultrasound of other site
8122032,ULTRASOUND TESTES ,498.75,522.5,Gross,yes,98.0,Portal X-Ray,55048-00-00,Ultrasound of scrotum
7121472,PARATHYROID HORMONE (PTH),603.75,632.5,Gross,yes,31.0,Portal Laboratory,73050-26-70,Measurement of Parathyroid Hormone (PTH)
8122034,ULTRASOUND TWO BREAST ,840,880.0000000000001,Gross,yes,98.0,Portal X-Ray,55076-00-00,"Ultrasound of breast, bilateral"
8122035,ULTRASOUND URINARY BLADDER,498.75,522.5,Gross,yes,98.0,Portal X-Ray,55084-00-00,Ultrasound of urinary bladder
8122036,ULTRASOUND UTEREUS & OVARIES ,498.75,522.5,Gross,yes,98.0,Portal X-Ray,55065-00-00,Ultrasound of pelvis
8122037,ULTRASOUND GUIDED FNA,945,990.0000000000001,Gross,yes,98.0,Portal X-Ray,90908-00-11,"Ultrasound guidance for needle injection, aspiration or biopsy, unilateral"
8122038,SONOHYSTEROGRAPHY,735,770.0000000000001,Gross,yes,98.0,Portal X-Ray,59712-00-00,Hysterosalpingography
8122039,PORTABLE ULTRASOUND ANTENATAL,498.75,522.5,Gross,yes,98.0,Portal X-Ray,55700-01-00,Ultrasound for fetal growth measurement
8122040,PORTABLE ULTRASOUND PELVIC ,498.75,522.5,Gross,yes,98.0,Portal X-Ray,55065-00-00,Ultrasound of pelvis
8122041,PORTABLE ULTRASOUND ABDOMEN ,703.5,737.0000000000001,Gross,yes,98.0,Portal X-Ray,55036-00-00,Ultrasound of abdomen
8122042,PORTABLE ULTRASOUND ABDOMEN AND PELVIC ,771.75,808.5000000000001,Gross,yes,98.0,Portal X-Ray,55036-00-00,Ultrasound of abdomen
8122043,PORTABLE ULTRASOUND BRAIN (TRANSCRANIAL) ,719.25,753.5000000000001,Gross,yes,98.0,Portal X-Ray,55028-00-00,Ultrasound of head
8122044,PORTABLE ULTRASOUND ONE ORGAN (ANY PART),498.75,522.5,Gross,yes,98.0,Portal X-Ray,90908-00-00,Ultrasound of other site
8122045,ULTRASOUND GUIDED INTRA-ARTICULAR INJECTION / ASPIRATION,1181.25,1237.5,Gross,yes,98.0,Portal X-Ray,90908-00-11,"Ultrasound guidance for needle injection, aspiration or biopsy, unilateral"
8122046,MAMMOGRAPHY WITH BREAST ULTRASOUND / UNILATERAL,1312.5,1375,Gross,yes,98.0,Portal X-Ray,59303-00-00,"Radiography of breast, unilateral"
8122047,MAMMOGRAPHY WITH BREAST ULTRASOUND / BILATERAL,1706.25,1787.5000000000002,Gross,yes,98.0,Portal X-Ray,59309-00-00,"Mammary ductography of breast, bilateral"
8122048,PRE-NATAL ANOMALY AND ANALYTIC SURVAY ,1312.5,1375,Gross,yes,98.0,Portal X-Ray,55700-00-00,Ultrasound for detection of fetal abnormality
8123005,CONTRAST ONLY FOR MRI / CT SCAN ,210,220.00000000000003,Gross,yes,98.0,Portal X-Ray,90901-08-20,"Magnetic resonance imaging of other site, with contrast medium"
8123012,MRI ARTHROGRAPHY WITH CONTRAST,3150,3300.0000000000005,Gross,yes,98.0,Portal X-Ray,59751-00-00,Arthrography
8123046,MRA HEAD & NECK,5250,5500,Gross,yes,98.0,Portal X-Ray,90902-00-00,Magnetic resonance angiography of head or neck
8123047,MRA CEREBRAL ARTERIES,3150,3300.0000000000005,Gross,yes,98.0,Portal X-Ray,90902-00-00,Magnetic resonance angiography of head or neck
8123048,MRA NECK,3150,3300.0000000000005,Gross,yes,98.0,Portal X-Ray,90902-00-00,Magnetic resonance angiography of head or neck
8123049,MRA ABDOMINAL AORTA & MESENTRIC ARTERIES,3150,3300.0000000000005,Gross,yes,98.0,Portal X-Ray,90902-04-00,Magnetic resonance angiography of abdomen
8123050,MRA UPPER LIMB UNILATERAL,3150,3300.0000000000005,Gross,yes,98.0,Portal X-Ray,90902-01-01,"Magnetic resonance angiography of upper limb, unilateral"
8123051,MRA LOWER LIMB UNILTERAL,3150,3300.0000000000005,Gross,yes,98.0,Portal X-Ray,90902-06-01,"Magnetic resonance angiography of lower limb, unilateral"
8123052,MRV BRAIN,3150,3300.0000000000005,Gross,yes,98.0,Portal X-Ray,90901-00-10,"Magnetic resonance imaging of brain, without contrast medium"
8123053,MRV NECK ,3150,3300.0000000000005,Gross,yes,98.0,Portal X-Ray,90901-02-10,"Magnetic resonance imaging of neck, without contrast medium"
8123054,MRV UPPER LIMB UNILATERAL,3150,3300.0000000000005,Gross,yes,98.0,Portal X-Ray,90901-07-11,"Magnetic resonance imaging of extremity, without contrast medium, unilateral"
8123055,MRV LOWER LIMB UNILATERAL,3150,3300.0000000000005,Gross,yes,98.0,Portal X-Ray,90901-07-11,"Magnetic resonance imaging of extremity, without contrast medium, unilateral"
8123056,MRV INFERIOR VENA CAVA,3150,3300.0000000000005,Gross,yes,98.0,Portal X-Ray,90901-08-10,"Magnetic resonance imaging of other site, without contrast medium"
8123057,MRA WITH CONTRAST (ANY PART),3570,3740.0000000000005,Gross,yes,98.0,Portal X-Ray,90902-07-00,Magnetic resonance angiography of other site
8123058,MRV WITH CONTRAST (ANY PART),3570,3740.0000000000005,Gross,yes,98.0,Portal X-Ray,59718-00-00,Phlebography
