CCHI No.  1014,مستشفي السعودي الألماني - جدة,Effective: 01-Jun-2021
MTSUR-0045,PLEURAL OR ABDOMINAL TAP(DIAGNOSTIC),service
MTSUR-0046,PROCTO-SIGMOIDOSCOPY,service
MTSUR-0047,PROSTOCOPY,service
MTSUR-0048,RELEASE OF TONGUE TIE (G.A.),service
MTSUR-0049,REMOVAL  OF FOREIGN BODY W/SCRN,service
MTSUR-0050,REMOVAL OF INGROWING NAIL,service
FMORT-0618,THUMB & FINGER ORTHOSIS,service
MTSUR-0053,REMOVAL OF WARTS MULTIPLE,service
MTSUR-0054,REMOVAL OF WART SINGLE,service
MTSUR-0055,REMOVAL OF CALCULUS FOR SALIVARY GLAND,service
MTSUR-0057,SCLEROTHERAPHY FOR HAEMORRHOIDS (SESSION),service
MTSUR-0058,SCLEROTHERAPHY FOR VARICOSE VEOMS(SESSION),service
MTSUR-0059,SUPERFICIAL CUT WOUND LARGE (10-20 STOTCJES),service
MTSUR-0060,SUPERFICIAL CUT WOUND MEDIUM (5-10 STITCHES),service
MTSUR-0061,SUPERFICIAL CUT WOUND SMALL (3-5 STITCHES),service
MTSUR-0062,TOE AMPUTATION (PARTIAL),service
MTSUR-0063,SCAR REVISION SMALL (L.A),service
MTSUR-0064,SCAR REVISION MEDIUM (L.A.),service
MTSUR-0065,SCAR REVISION LARGE (L.A.),service
MTSUR-0066,SCAR REVISION SMALL (G.A.),service
MTSUR-0067,SCAR REVISION MEDIUM (G.A.),service
MTSUR-0068,SCAR REVISION LARGE (G.A.),service
MTSUR-0069,BANDING OF HAEMORRHOIDS,service
MTSUR-0070,FINE NEEDLE BIOPSY (ASPIRATION OF THYROID GLAND),service
MTSUR-0071,DRAINAGE OF PARI-ANAL  HEMATOMA(L.A.),service
MTSUR-0072,DRAINAGE OF HEMATOMA (G.A.),service
MTSUR-0073,INGUINIAL UMBILICAL OR FEMURAL HERNIA,service
MTSUR-0075,RECTOSCOPY,service
MTSUR-0076,LAPAROSCOPIC HERNIORRAPHY,service
MTSUR-0077,HERNIOTOMY IN CHILDREN,service
FMORW-0014,THUMB & FINGER ORTHOSIS,service
MTSUR-0080,REPAIR OF UMBILICAL HERNIA,service
ENT-0017,Tracheostomy,PKG
MTSUR-0082,LAPAROSCOPIC CHOLECYSCTOMY,service
MTSUR-0008,DEBREDMENT & SUTURE OF SKIN DEEP,service
MTSUR-0052,REMOVAL OF STITCHES1,service
FMSUR-0193,DRESSSING OF WOUND (MEDIUM),service
FMSUR-0109,TRACHEOSTOMY,service
FMSUR-0196,DRAINAGE OF ABSCESS UNDER ANAESTHESIA,service
FMSUR-0051,CIRCUMCISION 6 MONTHS - 1 YEAR,service
FMSUR-0019,CONTROL OF POST-OF HAEMORHAGE ANUS(STOP BLEEDING),service
FMSUR-0192,DRESSING OF WOUNDS (SMALL),service
FMSUR-0072,CORRECTION OF CIRCUMCISION ADULT,service
FMSUR-0047,DEBRDMT & SUTURE OF SKIN DEEP,service
FMSUR-0154,CIRCUMCISION-ADULT OVER 15YRS,service
FMSUR-0249,RELEASE OF TIE TONGUE UNDER LOCAL ANESTHESIA,service
FMSUR-0005,ABCESS INSICION DEEP,service
FMSUR-0098,EXCISN OF SEBACEOUS CYST SINGL,service
FMSUR-0063,REMOVAL OF INGROWN TOE NAIL,service
FMSUR-0024,DRAINAGE OF PERIANAL ABCESS,service
FMSUR-0021,DRAINAGE SM.ABCESS-LOCAL ANAES,service
FMSUR-0039,ORCHIDECTOMY,service
FMSUR-0191,DEEP CUTWOUND LARGE(10 20 ) STICHES,service
FMSUR-0053,REMOVAL OF FOREIGN BODY - SIMPLE,service
FMSUR-0030,HAEMORRHOIDECTOMY,service
FMSUR-0045,REMOVAL OF FOREIGN BODY WITH  SCREENING,service
FMSUR-0037,EXCISION OF LOCALIZED LESION OF BREASTA,service
FMSUR-0209,INTRA-OPERAT.CHOLANGIOGRAPHY,service
FMSUR-0060,DEBRDMNT & SUTURING OF WOUND OF SKIN - MINOR,service
FMSUR-0002,EXCISION AND BIOPSY OF SKIN,service
FMSUR-0186,SUPERFICIAL CUT WOUND-SMALL   (3-5 STITCHES),service
FMSUR-0036,REPAIR UNDESCENDED TESTICLE,service
FMSUR-0277,EXCISION OF AXILLARY MASS,service
FMSUR-0201,REPAIR OF UMBELICAL HERNIA (BIG),service
FMSUR-0092,EXPLORATORY LAPAROTOMY1,service
FMSUR-0082,PARTIAL RESECTION OF INTESTINE,service
FMSUR-0338,HERNIOTOMY IN ADULT,service
SUR-0001,Abscess Drainage UGA,PKG
SUR-0002,Circumcision (Over 1 yr. old) G.A.,PKG
SUR-0003,Circumcision (Less than 1 yr. old) L.A.,PKG
SUR-0004,Removal -FBN L.A.,PKG
SUR-0005,Removal of Perianal Skin Tag LA,PKG
SUR-0006,Nail Extraction UGA,PKG
SUR-0007,Drainage of Peri-Anal Abscess L.A.,PKG
SUR-0008,Excision of Small Skin Lipoma,PKG
SUR-0009,Debridement of Friction Burns,PKG
SUR-0010,Removal of Submandibular Gland Stones,PKG
SUR-0011,Excision-Perianal Skin Tag,PKG
SUR-0012,Removal of Thrombosed Pile or Excision of Perianal ,PKG
SUR-0013,Perianal Abscess Under G.A.,PKG
SUR-0014,Ischio Rectal Abscess I & D,PKG
SUR-0015,Anal Dilatation,PKG
SUR-0016,Low Impeforated Anus,PKG
SUR-0017,Imperforated Anus-Perineal Anoplasty,PKG
SUR-0018,Excision of Simple Tumor or Chronic Abscess of Breast,PKG
SUR-0019,Imperforated Anus-Colostomy,PKG
SUR-0020,Imperforated Anus-Pulled Abdomino Perianal,PKG
SUR-0021,Single Wart Cautery,PKG
SUR-0022,Excision-Tumor/Abcess of Breast,PKG
SUR-0023,Multiple Wart Cautery,PKG
FMCAR-0007,TREADMILL EXERCISE STRESS TEST,service
SUR-0025,G.A. Wart Cautery,PKG
SUR-0026,L.A. Lymph Node Biopsy,PKG
SUR-0027,Drainage-Large Abcess Under G.A.,PKG
SUR-0028,G.A. Lymph Node Biopsy,PKG
SUR-0029,Excision-Small Skin Tumors G.A.+Histopath,PKG
SUR-0030,L.A. Removal of Foreign Body from Foot / Hand,PKG
SUR-0031,Excision-Sebaceous Cyst,PKG
SUR-0032,L.A. Lipoma Excision,PKG
SUR-0033,Excision-Lipoma G.A.,PKG
SUR-0034,Excision- Ganglion Cyst,PKG
SUR-0035,L.A. Ingrowing Toe Nail Removal,PKG
SUR-0036,Removal -FBN,PKG
SUR-0037,G.A. Ingrowing Toe Nail Removal or Zadek's Procedure,PKG
SUR-0038,Excision - Multiple Big Lipoma G.A.,PKG
SUR-0039,L.A. Haematoma Evacuation,PKG
SUR-0040,Excision- Multiple Neurofibroma G.A.,PKG
SUR-0041,G.A. Haematoma Evacuation,PKG
SUR-0042,ERCP Diagnosis,PKG
FMMTR-0007,TREADMILL EXERCISE STRESS TEST,service
SUR-0044,ERCP Therapeutic,PKG
SUR-0045,Orchidectomy Including Histopathology,PKG
SUR-0046,Biopsy Breast + Tissue Tumor Excision+Histopath,PKG
SUR-0047,Inguinal & Umbilical & Para-Umbilical or Femoral Hernia,PKG
SUR-0048,Mastectomy Male,PKG
SUR-0049,"Recurrent Hernia (Plastic Repair, with Mesh)",PKG
SUR-0050,Fistula-In Ano-Excision-Low,PKG
SUR-0051,Fistula-In Ano-Excision-High,PKG
SUR-0052,Clearance of Fatty Hernia of Linea Alba,PKG
SUR-0053,Pilonidal Sinus,PKG
SUR-0054,Undescended Tests within  or Outside the Inguinal ,PKG
SUR-0055,Anal Fissure Operation+Sphincterectomy+Anoplasty,PKG
SUR-0057,High Anal Fistula & Branch Anal Fistula,PKG
SUR-0058,Appendectomy,PKG
NBD-ROOM,USE OF FACILITIES,service
SUR-0060,Hemorrhoidectomy or Pile Under G.A.(Surgical Excision),PKG
SUR-0061,Colostomy,PKG
SUR-0062,Small Incisional Hernia,PKG
SUR-0063,Large Incisional Hernia w/out mesh,PKG
SUR-0064,Varicose Veins High Ligation & Stripping-Unilateral,PKG
SUR-0065,Subtotal Thyroidectomy,PKG
SUR-0066,Total Thyroidectomy & or Recurrent Cases,PKG
SUR-0067,Cholecystoduodenostomy-Surgery,PKG
SUR-0068,Choledochoduodenostomy,PKG
SUR-0069,Congenital Pyloric Stenosis,PKG
SUR-0070,"Gastrostomy,  Colostomy",PKG
SUR-0071,Drain Liver Abcess,PKG
SUR-0072,Amputation of Limbs Gangrene,PKG
SUR-0073,Hydatid Cyst Liver,PKG
SUR-0074,Partial Thyroidectomy with Histopathology,PKG
SUR-0075,Radical Surgery for Oral Malignancy,PKG
SUR-0076,Partial or Total Pancreatectomy,PKG
SUR-0077,Total Pelvic Excentration,PKG
SUR-0078,Partial Mastectomy with Histopathology,PKG
FMPDT-0165,USE OF FACILITIES,service
SUR-0080,Mastectomy in Male with Histopathology,PKG
SUR-0081,Parotidectomy,PKG
SUR-0082,Closure of Colostomy with Anastomosis- Surgical,PKG
SUR-0083,Strangulated Hernia,PKG
SUR-0084,Strangulated Hernia and Resection Anastomosis,PKG
SUR-0085,Diaphragmatic Hernia- Open,PKG
SUR-0086,Repair of Gastro Fistula or Intestinal Perforation,PKG
SUR-0087,Excision of Hepatic Cysts,PKG
SUR-0088,Bowel Anastomosis Resection,PKG
SUR-0089,Rectal Prolapse,PKG
SUR-0090,Laporotomy without Procedure,PKG
SUR-0091,Laparoscopy (Diagnostic),PKG
SUR-0092,Acute Peritonitis / Laparotomy,PKG
SUR-0093,Lap. Cholecystectomy,PKG
SUR-0094,Lap. Appendectomy,PKG
SUR-0095,Congenital Intestinal Stricture,PKG
SUR-0096,Lap. Inguinal Hernia Repair,PKG
SUR-0097,Lap. Closure of Perpforation of D.U.,PKG
SUR-0098,Cholecystostomy ,PKG
SUR-0099,Lap. Diaghragmatic Hernia Repair,PKG
SUR-0100,Complete Rectal Prolapse,PKG
SUR-0101,Radial Thyroidectomy,PKG
SUR-0102,Lap. Vangotomy & Gastrojejunostomy,PKG
SUR-0103,Adrenalectomy,PKG
SUR-0104,Enuclations of Thyroid Cyst,PKG
SUR-0105,Gastrocystostomy,PKG
SUR-0106,Embolectomy for Limb Ischemia,PKG
SUR-0107,Laparoscopic Adhesolysis,PKG
SUR-0108,Right Haemecollectomy,PKG
SUR-0109,Lopectomy with Axillary Mass,PKG
SUR-0110,Left Haemcollectomy,PKG
SUR-0111,Repair of Gastro Fistula,PKG
SUR-0112,Anterior Resection,PKG
SUR-0113,Hartman Procedure,PKG
SUR-0114,Varicous Vein Both Leg,PKG
SUR-0115,Small Mass Local excision,PKG
SUR-0116,Arterial Embolectomy and Venous Thembectomy,PKG
SUR-0117,Broncial Cyst,PKG
SUR-0118,Congenital Intestinal Stricture- Conclusive,PKG
SUR-0119,Diverticulation Repair without Mesh,PKG
SUR-0120,Excision of Submandibular Gland,PKG
SUR-0121,Intestinal Volvulous,PKG
SUR-0122,Intestinal Volvulous Release,PKG
SUR-0123,Laporotomy Exploration w/ Procedure,PKG
SUR-0124,Laproscopic Fundoplication,PKG
SUR-0125,Lumpectomy + Histopathology,PKG
SUR-0126,Modified Radical Mastectomy with Axillary Clearance,PKG
SUR-0127,Open Cholecystectomy Exp. Of C.B.D.,PKG
SUR-0128,Partial Gastrectomy,PKG
FMPDT-9999,USE OF FACILITIES (R & B),service
SUR-0130,Post Hemorrhoidectomy Stricture Anus,PKG
SUR-0131,Repair of  Gastro-Intestianal Fistula,PKG
SUR-0132,Simple Mastectomy- Clearing of Auxillary Lymphnode + Histopathology,PKG
SUR-0133,Thyroglossal Cyst or Fistula,PKG
SUR-0134,Vagotomy + Drainage Procedure + Laproscopic,PKG
SUR-0135,Laparoscopic Rectopexy ,PKG
SUR-0250,WOUND CLOSURE UNDER G/A,PKG
SUR-0155,LAP. SLEEVE GASTRECTOMY,PKG
URO-0120 ,Ureteroscopy + check for stone residual + DJ stent removal ,PKG
URO-0121,Ureteroscopy + Stone extraction + Ureteric Cath insertion,PKG
URO-0125,Diagnostic flexible ureteroscopy + Ureteric Cath insertion ,PKG
URO-0139, TURP + Cystourethroscopy ( 50cc or less ) ,PKG
URO-0142," TURT ( Single, more than 3 cm mass) ",PKG
URO-0143, TURT ( either Multiple masses or single mass 6 cm or larger) ,PKG
URO-0122,URETEROSCOPY WITH STONE MANIPULATION + DORMIA BASKET + DJ STENT INSERTION + USE OF LASER,PKG
FMURO-0179,LASER ENDOPYELOTOMY,service
FMURO-0058,DIAGNOSTIC SONOGRAPHY,service
FMURO-0064,ANTEGRADE PYELOGRAPHY,service
FMURO-0107,"ESWL (I) GRADE ""A""",service
FMURO-0108,"ESWL (I) GRADE ""B""",service
FMURO-0109,"ESWL (I) GRADE ""C""",service
FMURO-0110,"ESWL (I)  GRADE ""D""",service
FMURO-0111,"ESWL (I) GRADE ""E""",service
FMURO-0112,COMPLETION SESSION IN THE SAME DEAL,service
FMURO-0113,RE-ESWL FROM ADDMISSION 1ST    MONTH,service
FMURO-0114,"RE-ESWL FROM ADMISSION 2ND     ,MONTH",service
FMURO-0115,RE-ESWL FROM ADMISSION 3RD     MONTH,service
FMURO-0116,RE-ESWL FROM ADMISSION 3-6 MOS,service
FMURO-0117,LITHOTRIPSY (GRADE A),service
FMURO-0118,LITHOTRIPSY (GRADE B),service
FMURO-0119,LITHOTRIPSY (GRADE C),service
FMURO-0121,URO DYNAMIC STUDY,service
FMURO-0125,ESWL-STONE LOCALIZATION TRIAL,service
FMURO-0140,LOCAL INSTILLATION OF B.C.G.   VACCINE,service
FMURO-0151,INTRACORPOSAL INJ. V.R. TEST,service
FMPDT99999,USE OF FACILITIES (R & B),service
FMURO-0168,PERCUTANEOUS NEPHROSTOMY STONEEXTRACTION,service
FMURO-0170,CYSTOSCOPY AND D.J. INSERATION,service
FMURO-0171,REMOVAL OF D.J. STENT,service
FMURO-0172,PENOPLASTY,service
FMURO-0173,VARICOSELECTOMY AND LAPAROSCOPIC,service
EXURO-0002,VARICOCELECTOMY G.A.,service
EXURO-0003,HYDROCELECTOMY G.A.,service
EXURO-0007,PROSTATE HYPERTHERAMIA TREATMENT G.A.,service
EXURO-0012,TRANSRECTAL PROSTATIC N. BIOPSY GUIDED ULT. UNDER ANAE.,service
EXURO-0013,COMPLETE URODYNAMIC EVAL. FOR NEUROPATHIC DISORDER G.A.,service
EXURO-0016,POST-OP.REG.URETHRAL DLTN. FORURETHRAL STRUCTURE USING MTL G,service
EXURO-0019,URETROSCOPY URS G.A.,service
FMXRY-0929,UTERINE FIBROID EMBOLIZATION,service
MTURO-0022,POST-OP.REG.URETHRAL DLTN. FORURETHRAL STRTR. USING MTL URET,service
FMXRY-0814,UTERINE FIBROID EMBOLIZATION,service
MTURO-0011,PROSTATE HYPERTHERMIA TREATMENT,service
MTURO-0018,TRANSRECTAL PROSTATIC NEEDLE  BIOPSY UNR ANA. AND GUIDED ULT,service
FMURO-0005,SIMPLE URETHRAL DILATATION,service
FMURO-0006,FIXATION CATHETER - RUPTURED  URETHRA,service
FMURO-0007,SPURAPUBIC PUNCTURE - CYSTOFIX,service
FMURO-0054,BLADDER WASHOUT,service
FMURO-0055,INSERTN OF URETHERAL CATHETER,service
FMURO-0056,DRESSING OF WOUND,service
FMIVF-0029,VAGINAL ULTRASOUND,service
FMURO-0123,INJECTION OF PEROXINORM,service
FMURO-0069,MICTURATING CYSTOURETHROGRAM  (MCUG),service
FMURO-0070,URETERAL DILATATION OR MEATO- MY,service
FMURO-0074,ASPIRATN & INJ. OF RENAL CYST,service
FMURO-0076,EMBOLIZATION OF VARICOCELE,service
FMOBG-0173,VAGINAL ULTRASOUND,service
FMURO-0023,LITHOTHERAPY - PACKAGE DEAL,service
FMURO-0062,URETHRO CYSTOGRAPHY,service
FMURO-0152,HALF I.C. PROGRAM - 12 DOSE,service
FMURO-0153,FULL I. C. PROGRAM - 25 DOSE,service
FMURO-0154,I.C. PROGRAM + TRAINING,service
FMURO-0156,VASCULAR DOPPLER - OFFICE PROC,service
FMURO-0141,TRANSURETHRAL MICROWAVE HYPER-THERMIC TREAT.PROSTRATE(FULL P,service
FMURO-0142,TRAN.MIC.HYPERTHER.TREAT-60MS.,service
FMURO-0143,TRAN.MIC.HYPER.TREAT.- 45 MINSFOR PROSTRATE,service
FMURO-0144,TRAN.MIC.HYPER.TREAT.-30 MIN.,service
FMURO-0145,TRAN.MIC.HYPER.TREAT. 15 MINS.,service
FMURO-0146,TRAN.MIC.HYPER.TREAT.6 MOS.PST,service
FMURO-0147,TRAN.MIC.HYPER.TREAT.3 MOS.PST,service
FMURO-0148,TRAN.MIC.HYPER.TREAT.1MOS.POST,service
FMURO-0129,UROFLOWMETERY,service
FMURO-0133,PAPAVERIN TEST,service
FMURO-0134,DOPPLER STUDY OF PENILE ARTER-IES,service
FMURO-0135,DYNAMIC CAVERNPSOGRAPHY,service
FMURO-0136,PUDENDAL ARTERIOGRAPHY,service
FMURO-0138,ARTIFICIAL SEMINAL ASPIRATION,service
FMURO-0139,SURGICAL MANAGEMENT OF        PRIAPRISM,service
FMURO-0101,NEEDLE BIOPSY PROSTATE,service
MTDER-0015,VASCULAR LASER LARGE,service
MTURO-0002,VARICOSELECTOMY,service
MTURO-0004,REPAIR OF FRACTURE PENIS,service
MTURO-0005,SUPROPELVIC CRYPTOCATH,service
MTURO-0006,MEATOTOMY AND METOPLASTY,service
MTURO-0007,MANAGEMENT OF PIAPISM,service
MTURO-0008,BIL. SUBCOPSULAR ORCHIDECTOMY,service
MTURO-0009,INCISION FOR TESTICULAR BASCESS,service
MTURO-0010,TESTICULAR EXPLORATION1,service
MTURO-0012,CYSTOSCOPY AND CAUTERY BLADDER,service
MTURO-0013,VISUAL INT. URETHROTOMY FOR URETHRAL STRICTURE & L,service
MTURO-0014,CYSTOSCOPY AND DJ INSERTION,service
MTURO-0015,CYSTOSCOPY AND BLADDER NECK,service
MTURO-0016,CYSTOSCOPY AND BLADDER WASH OUT,service
MTURO-0017,CYSTOSCOPY AND BLADDER BIOPSY,service
MTURO-0019,COMPLETE URODYNAMIC EVAL. FOR NEUROPATHIC BLADDER,service
MTURO-0020,CYSTOSCOPY AND RECTOGRADE URE-TEROPHELOGRAPHY,service
MTURO-0021,PECAUTENOUS NEPHROSTOMY,service
MTURO-0023,CYSTOSCOURETHOSCOPY,service
MTURO-0024,REMOVAL OF D.J. RTENT,service
MTURO-0025,URETROSCOPY URS,service
MTURO-0027,DORSAL VEIN LIGATION,service
MTURO-0028,REMOVAL OF FFOREEIGN BODY,service
FMURO-0178,CYSTOSCOPY AND BOTOX INJECTION,service
FMURO-0150,USER OF LAZER,service
FMURO-0002,CYSTOURETHOSCOPY,service
FMURO-0159,REPAIR OF FRACTURED PENIS,service
FMURO-0092,STONE BASKETING & MANIPULATION,service
FMURO-0188,REMOVAL OF TAPE,service
FMURO-0189,D.J STENT INSERTION,service
FMURO-0053,URETEROLYSIS,service
FMURO-0019,FIRST STAGE HYPOSPADIAS REPAIR,service
FMURO-2003,METHYLENE BLUE TEST FOR VAGINAL FISTULA,service
FMURO-0061,CIRCUMCISION,service
URO-0001,Diagnostic Cystoscopy,PKG
URO-0002,Cystourethroscopy,PKG
URO-0003,Cystoscopy + Biopsy,PKG
URO-0004,Meatotomy,PKG
URO-0005,Cystoscopy + Retrograde,PKG
URO-0006,Cystoscopy + Urethral of DJ Stent,PKG
URO-0007,Cystoscopy + Removal of DJ Stent,PKG
URO-0008,Cystoscopy + Optical Urethroscopy,PKG
URO-0009,Cystoscopy + Diathermy of Bladder Carcinoma,PKG
URO-0010,True Cut Needle Biopsy- Cystoscopy + Histopathology,PKG
URO-0011,Open Prostastectomy,PKG
URO-0012,Cystolithopaxy,PKG
URO-0013,Radical Orchidectomy+Histopathology,PKG
URO-0014,Simple Orchidectomy,PKG
URO-0015,Haemotocele,PKG
EXDER-0015,VASCULAR LASER LARGE,service
URO-0017,Excision of Spermatocele,PKG
URO-0018,Ligation Varicocele (One Side),PKG
URO-0019,Ligation Varicocele (Both Side),PKG
URO-0020,Testicular Biopsy + Histopathology,PKG
URO-0021,Orchidopexy for Undescended ,PKG
URO-0022,Orchidopexy for Undescended (Testes- Bilateral),PKG
URO-0023,Nephrectomy (Simple),PKG
URO-0024,Pyelolithotomy,PKG
URO-0025,Radical Nephrectomy,PKG
URO-0026,Nephrouretectomy,PKG
EXDER-0014,VASCULAR LASER MEDIUM,service
URO-0028,Suprapublic Cystotomy for Stone,PKG
URO-0029,Ureterolithotomy,PKG
URO-0030,ESWL-Small Stone,PKG
URO-0031,ESWL-Medium Stone,PKG
URO-0032,ESWL-Large Stone,PKG
URO-0033,ESWL-Any Additional Session,PKG
URO-0034,Anterior Urethro-Lithotomy,PKG
URO-0035,Cystourethroscopy and T.U.R. Prostatectomy,PKG
URO-0036,Diverticulum (Excision of Bladder),PKG
URO-0037,Resection and Anastomosis or Reimplantation of Urether,PKG
URO-0038,Lithopaxy End.Blader Stone,PKG
URO-0039,Nephrolithotomy,PKG
URO-0040,Nephropaxy or Plyoplasty or Precutanius Nep.Lithotomy,PKG
URO-0041,Partial Cystectomy,PKG
URO-0042,Partial Excision of Tumours of the Kidney and Bladder,PKG
URO-0043,Percutaneous Nephrostomy,PKG
URO-0044,Perinephric Abscess,PKG
URO-0045,Prostatic Abscess Driange,PKG
URO-0046,Recurrent Urethral Stricture. Recontruction,PKG
URO-0047,Repair of Hypospadias (1st Stage),PKG
URO-0048,Repair of Hypospadias (2nd Stage),PKG
URO-0049,Repair of Reptured Urethra or Balder,PKG
URO-0050,T.U.R. of Bladder (Tumours),PKG
URO-0051,Total Cystectomy,PKG
URO-0052,Trans-Urethro-Lithotomy,PKG
URO-0053,Tumt (Microwave Therapy),PKG
URO-0054,"V-Lap. Prostatectomy ( Conclusive, Tulip-TURP)",PKG
URO-0137 ,Partial Nephrectomy + Vascular clamping + Calyceal repair ,PKG
URO-0138 ,Partial Nephrectomy + Vascular clamping + Calyceal repair + DJ stent insertion ,PKG
URO-0140 ,TURP + Cystourethroscopy ( more than 50 cc ) ,PKG
URO-0141 ,"TURT ( Single, 3 cm mass or less) ",PKG
URO-0150,Laparoscopic Partial Nephrectomy,PKG
VAS-0200,Peripheral angioplasty - without stent,PKG
MTVAS-0022,STOCKING COTTON COMPRESSION SIGVARIS PANTY,service
MTVAS-0026,SPECIAL DIABETIC FOOT DRESSING,service
MTVAS-0001,LIGATION OF PERFORATOR VEIN,service
MTVAS-0002,SCLEROTHERAPY FOR VARICOUSE VEINS,service
MTVAS-0003,TOE AMPUTATION PARTIAL,service
MTVAS-0004,FORMATION OF ARTERIO VENOUS FISTULA,service
MTVAS-0005,DRESSING OF WOUND (SMALL)-vas_,service
MTVAS-0006,DRESSING OF WOUND (LARGE)-vas-,service
FMVAS-0032,LARGE DRESSING -VAS,service
FMVAS-0018,REPAIR OF ARTERIAL OR VENOUS INJURY,service
FMVAS-0008,TOE AMPUTATION,service
FMVAS-0017,EMBOLECTOMY,service
MTVAS-0007,INGROWING TOE NAIL,service
MTVAS-0008,DEBRIDEMENT (SMALL),service
MTVAS-0009,DEBRIDEMENT (LARGE),service
MTVAS-0010,SCLEROTHERAPY (LARGE),service
MTVAS-0011,EXCISION OF SWELLING,service
FMVAS-0036,EXCISION OF HAEMANGIOMA (SMALL),service
FMVAS-0044,BELOW ELBOW AMPUTATION,service
MTVAS-0012,DIABETIC FOOT DRESS (SMALL),service
MTVAS-0013,DIABETIC FOOT DRESSING (LARGE),service
MTVAS-0014,VAC DRESSING FOR DIABETIC FOOT,service
MTVAS-0015,VAC MACHINE RENTAL FOR DIABETIC FOOT PATIENT PER D,service
MTVAS-0016,VAC MACHINE DEPOSIT (REFUNDABLE),service
MTVAS-0017,RF ABLATION OF SUPERFICIAL V.V. VEINWAVE  PER SESS,service
MTVAS-0018,FOAM SCLEROTHERAPHY,service
MTVAS-0019,STARTER KIT VAC WOUND NEG. PRESSURE MACH. KCI,service
FMXRY-0001,SKULL AP. LATERAL,service
FMXRY-0002,PARANASAL SINUSES 1 VIEW WATER,service
FMXRY-0003,P.N.S./ SKULL PA. LAT. WATERS,service
FMXRY-0004,NASAL BONES LATERAL,service
FMXRY-0005,MASTOID SCHULLERS AND STENVERS,service
FMXRY-0006,T.M.J.,service
FMXRY-0007,MANDIBLE PA OBL.,service
FMXRY-0008,ORBITS PA WATERS OBL.,service
FMXRY-0009,NASOPHARRYNX LAT. VIEW,service
FMXRY-0010,ZYGOMATIC ARCH -TOWNES JUG LER,service
FMXRY-0011,CLAVICLE  5% AO OR PA,service
FMXRY-0012,ACROMIO CLAVICULAR JOINT,service
FMXRY-0013,A.C. JOINT W/ WEIGHT BEARING,service
FMXRY-0014,A.C. JOINT W/& W/O WHGHT.BEAR-,service
FMXRY-0015,SCAPULA AP LAT.,service
FMXRY-0016,STERNUM ONE VIEW,service
FMXRY-0017,STERNUM MULTIPLE VIEWS,service
FMXRY-0018,STERNO CLAVICULAR JOINTS,service
FMXRY-0019,RIBS UNILATERAL,service
FMXRY-0020,RIBS BILATERAL,service
FMXRY-0021,CERVICAL SPINE AP LATERAL,service
FMXRY-0022,CERVICAL SPINE AP LAT. OBLIQUE,service
FMXRY-0023,C/SPINE AP LAT.OBL. FLEX.& EX,service
FMXRY-0024,THORACIC SPINE AP LATERAL,service
FMXRY-0025,THORACO - LUMBAR AP STANDING,service
FMXRY-0026,THORACIC SPINE AP LAT. SWIMM.,service
FMXRY-0027,LUMBAR SPINE AP LATERAL,service
FMXRY-0028,LUMBAR SPINE AP LAT OBL.,service
FMXRY-0029,SPINE (1 SEGMENT ) FLEX/EXT.,service
FMXRY-0030,SACRUM COCCYX AP LAT.,service
FMXRY-0031,SACROILAC JOINT AP OBL.,service
FMXRY-0032,SPINE FLEXION  EXT. AP & LAT.,service
FMXRY-0033,SCOLIOSIS STUDY AP VIEW,service
FMXRY-0034,COMPLETE SPINE AP & LAT VIEWS,service
FMXRY-0035,SHOULDER AP AXIAL,service
FMXRY-0036,SHOULDER NEUTRAL AP,service
FMXRY-0037,"SHOULDER AP INT.,EXT. ROTATION",service
FMXRY-0038,SPECIAL VIEW FOR GLENOID,service
FMXRY-0039,SHOULDER OF INTERTUBECULARIS,service
FMXRY-0040,HUMERUS AP LATERAL,service
FMXRY-0041,ELBOW AP. LAT.,service
FMXRY-0042,"ELBOW AP LAT. SP.,VIEW",service
FMXRY-0043,ELBOW FOR CORONOID PROC' OBL.,service
FMXRY-0044,ELBOW FOR SULCRUS ULNARIS,service
FMXRY-0045,"FOREARM  AP., LATERAL",service
FMXRY-0046,"WRIST PA, LAT.",service
FMXRY-0047,WRIST PA. LAT. OBLIQUE,service
FMXRY-0048,CARPAL TUNNEL (GAYNOR HART),service
FMXRY-0049,HAND AP. OBL.,service
FMXRY-0050,HAND AP. LAT. OBL.,service
FMXRY-0051,HAND FOR PISIFORM/NAVICULAR,service
FMXRY-0052,BOTH HANDS AP,service
FMXRY-0053,FINGERS AP LAT. OBL.,service
FMXRY-0054,STRESS VIEW FINGERS,service
FMXRY-0055,PELVIS AP,service
FMXRY-0056,HIP-UNILATERAL AP/LAUENSTEIN,service
FMXRY-0057,HIP-BILATERAL AP/LAUENSTEIN,service
FMXRY-0058,HIP AP & FROG POSITION (BILAT),service
FMXRY-0059,HIP FOR HEAD OF FEMUR(30CA/AG),service
FMXRY-0060,OBTURATE FORAMEN & ALA.(1 SID),service
FMXRY-0061,HIPF SCHNEIDER POS. ONE SIDE,service
FMXRY-0062,FEMUR AP. LAT.,service
FMXRY-0063,KNEE AP. LAT.,service
FMXRY-0064,BOTH KNEES AP STANDING,service
FMXRY-0065,"BOTH KNEES AP.,LAT.",service
FMXRY-0066,KNEE AP. LAT.SP.VIEW,service
