S/No,ItemCode,Name,Price/ Unit,price of 1/2/2021,price of 1/2/2022,GMDN 1,GMDN 2,GMDN 3
2271,MS-S-008417,SCREW LOCKING 2.8MM OSTEONIC#S1B.28220,595.0,655,721,56642,,
2272,MS-S-008418,SCREW CONICAL 2.8MM OSTEONIC#S1D.28200,560.0,616,678,56642,,
2273,MS-S-008427,SCREW LOCKING 2.8MM X 12MM.OSTEONIC#C6.24120,595.0,655,721,16101,,
2274,MS-S-008428,SCREW LOCKING 2.8MMX14MM.OSTEONIC#C6.28140,595.0,655,721,16101,,
2275,MS-S-008432,SCREW 1.5MMX6MM SELF DRILLING OSTEONIC#F15A06,682.5,751,827,56642,,
2276,MS-S-008433,STAPLE LIGAMENT 6MM X 20MM. ARTHREX # AR-1006,1080.0,1188,1307,47030,,
2277,MS-S-008434,STEM COLLARLESS 12 STANDARD OFF SET. JOH. & JOH. # 3L92512,3800.0,4180,4598,33695,,
2278,MS-S-008453,SABRS SMALL HUB 7MM X 2.0CM ARTHREX # AR-9200SR,1032.0,1136,1250,32864,,
2279,MS-S-008455,SCREW LOCKING 3.5MM X 22MM.OSTEONIC#S1B.35220,630.0,693,763,56642,,
2280,MS-S-008456,SCREW LOCKING 3.5MM X 30MM . OSTEONIC#S1B.35300,585.9,645,710,56642,,
2281,MS-S-008457,SCREW LOCKING 3.5MM X 40MM.OSTEONIC#S1B.35400,585.9,645,710,56642,,
2282,MS-S-008458,SCREW LOCKING 2.8MM X 20MM.OSTEONIC#S1H.28200,595.0,655,721,16101,,
2283,MS-S-008459,SCREW LOCKING 2.8MM X 24MM.OSTEONIC#S1H.28240,595.0,655,721,16101,,
2284,MS-S-008460,SCREW LOCKING 2.8MM X 54MM . OSTEONIC#S1H.28540,595.0,655,721,16101,,
2285,MS-S-008462,SCREW LOCKING 2.4MM X 20MM VARIABLE ANGLED. OSTEONIC#B1G.24200,700.0,770,847,56642,,
2286,MS-S-008463,SCREW LOCKING 2.4MM X 22MM VARIABLE ANGLED OSTEONIC#B1G.24220,700.0,770,847,56642,,
2287,MS-S-008464,SCREW LOCKING 2.4MM X 24MM VARIABLE ANGLED OSTEONIC#B1G.24240,700.0,770,847,56642,,
2288,MS-S-008465,SCREW LOCKING 4.0MM X 20MM. IRINE # 6820,234.5,258,284,56642,,
2289,MS-S-008466,SCREW LOCKING 4.0MM X 24MM. IRINE # 6821,234.5,258,284,35642,,
2290,MS-S-008467,SCREW LOCKING 4.0MM X 28MM. IRINE # 6822,234.5,258,284,56642,,
2291,MS-S-008468,SCREW LOCKING 4.0MM X 32MM. IRINE # 6823,234.5,258,284,56642,,
2292,MS-S-008469,SCREW LOCKING 4.0MM X 36MM. IRINE # 6824,234.5,258,284,56642,,
2293,MS-S-008470,SCREW LOCKING 4.0MM X 40MM. IRINE # 6825,234.5,258,284,56642,,
2294,MS-S-008471,SCREW LOCKING 4.0MM X 44MM. IRINE # 6826,234.5,258,284,56642,,
2295,MS-S-008472,SCREW LOCKING 4.0MM X 48MM. IRINE # 6847,234.5,258,284,56642,,
2296,MS-S-008473,SCREW LOCKING 4.0MM X 52MM. IRINE # 6848,234.5,258,284,56642,,
2297,MS-S-008482,SCREW 3.5X13 VARIABLE ANGLE SELF-DRILLING SANYO # 61513513,290.5,320,352,63980,,
2298,MS-S-008483,SCREW 3.5X15 VARIABLE ANGLE SELF-DRILLING SANYO # 61513515,1014.0,1116,1228,63980,,
2299,MS-S-008484,SCREW 3.5X17 VARIABLE ANGLE SELF-DRILLING SANYO # 61513517,207.5,229,252,56642,,
2300,MS-S-008485,SCREW 4.5X30 MULTI-AXIAL. SANYO # 61111430,1057.5,1164,1281,46650,46651.0,
2301,MS-S-008486,SCREW 4.5X35 MULTI-AXIAL SANYO # 61111435,1057.5,1164,1281,46650,46651.0,
2302,MS-S-008487,SCREW 4.5X40 MULTI-AXIAL SANYO # 61111440,1057.5,1164,1281,46650,46651.0,
2303,MS-S-008488,SCREW 5.5X30 MULTI-AXIAL SANYO # 61111530,1057.5,1164,1281,46650,46651.0,
2304,MS-S-008489,SCREW 5.5X35 MULTI-AXIAL SANYO # 61111535,1410.0,1551,1707,46650,46651.0,
2305,MS-S-008490,SCREW 5.5X40 MULTI-AXIAL SANYO # 61111540,1410.0,1551,1707,46650,46651.0,
2306,MS-S-008492,SCREW 5.5X50 MULTI-AXIAL SANYO # 61111550,1057.5,1164,1281,46650,46651.0,
2307,MS-S-008493,SCREW 6.5X30 MULTI-AXIAL SANYO # 61111630,1057.5,1164,1281,46650,46651.0,
2308,MS-S-008494,SCREW 6.5X35 MULTI-AXIAL SANYO # 61111635,1410.0,1551,1707,46650,46651.0,
2309,MS-S-008501,SCREW 6.5X40 MULTI-AXIAL SANYO # 61111640,1410.0,1551,1707,46650,46651.0,
2310,MS-S-008502,SCREW 6.5X45 MULTI-AXIAL SANYO # 61111645,1410.0,1551,1707,56642,,
2311,MS-S-008503,SCREW 6.5X50 MULTI-AXIAL SANYO # 61111650,1410.0,1551,1707,46650,46651.0,
2312,MS-S-008504,SCREW 6.5X55 MULTI-AXIAL SANYO # 61111655,1410.0,1551,1707,46650,46651.0,
2313,MS-S-008505,SCREW 7.0X35 MULTI-AXIAL SANYO # 61111735,1410.0,1551,1707,46650,46651.0,
2314,MS-S-008506,SCREW 7.0X40 MULTI-AXIAL SANYO # 61111740,1057.5,1164,1281,46650,46651.0,
2315,MS-S-008507,SCREW 7.0X45 MULTI-AXIAL SANYO # 61111745,1057.5,1164,1281,46651,,
2316,MS-S-008508,SCREW 6.0X35 MULTI-AXIAL SANYO # 61112635,1057.5,1164,1281,46650,46651.0,
2317,MS-S-008509,SCREW 6.0X40 MULTI-AXIAL SANYO # 61112640,1410.0,1551,1707,46650,46651.0,
2318,MS-S-008510,SCREW 6.0X45 MULTI-AXIAL SANYO # 61112645,1410.0,1551,1707,46650,46651.0,
2319,MS-S-008511,SCREW 6.0X50 MULTI-AXIAL SANYO # 61112650,1410.0,1551,1707,46650,46651.0,
2320,MS-S-008512,SCREW 6.0X55 MULTI-AXIAL SANYO # 61112655,1057.5,1164,1281,56642,,
2321,MS-S-008513,SCREW 7.0X35 MULTI-AXIAL SANYO # 61112735,1410.0,1551,1707,46650,46651.0,
2322,MS-S-008514,SCREW 7.0X40 MULTI-AXIAL SANYO # 61112740,1410.0,1551,1707,46650,46651.0,
2323,MS-S-008515,SCREW 7.0X45 MULTI-AXIAL SANYO # 61112745,1410.0,1551,1707,46650,46651.0,
2324,MS-S-008516,SCREW 7.0X50 MULTI-AXIAL SANYO # 61112750,1410.0,1551,1707,46650,46651.0,
2325,MS-S-008517,SCREW 5.5X30 FIXED ANGLE SANYO # 61113530,859.5,946,1041,46646,,
2326,MS-S-008518,SCREW 5.5X35 FIXED ANGLE SANYO # 61113535,859.5,946,1041,46646,,
2327,MS-S-008519,SCREW 5.5X40 FIXED ANGLE SANYO # 61113540,859.5,946,1041,46646,,
2328,MS-S-008520,SCREW 5.5X45 FIXED ANGLE SANYO # 61113545,859.5,946,1041,46646,,
2329,MS-S-008527,SCREW 7.5X55 MULTI-AXIAL . SANYO # 61112755,1410.0,1551,1707,46650,46651.0,
2330,MS-S-008528,SCREW 5.5X50 FIXED ANGLE SANYO # 61113550,859.5,946,1041,46646,,
2331,MS-S-008529,SCREW 6.5X30 FIXED ANGLE SANYO # 61113630,859.5,946,1041,46646,,
2332,MS-S-008530,SCREW 6.5X35 FIXED ANGLE SANYO # 61113635,859.5,946,1041,46646,,
2333,MS-S-008531,SCREW 6.5X40 FIXED ANGLE SANYO # 61113640,859.5,946,1041,46646,,
2334,MS-S-008532,SCREW 6.5X45 FIXED ANGLE SANYO # 61113645,859.5,946,1041,46646,,
2335,MS-S-008533,SCREW 6.5X50 FIXED ANGLE SANYO # 61113650,859.5,946,1041,46646,,
2336,MS-S-008534,SCREW 5.5X35 MULTI-AXIAL . SANYO # 61115535,1170.0,1287,1416,46650,46651.0,
2337,MS-S-008535,SCREW 5.5X40 MULTI-AXIAL . SANYO # 61115540,1170.0,1287,1416,46650,46651.0,
2338,MS-S-008536,SCREW 5.5X45 MULTI-AXIAL . SANYO # 61115545,1170.0,1287,1416,46650,46651.0,
2339,MS-S-008537,SCREW 5.5X50 MULTI-AXIAL . SANYO # 61115550,1170.0,1287,1416,46650,46651.0,
2340,MS-S-008538,SCREW 6.5X35 MULTI-AXIAL . SANYO # 61115635,1170.0,1287,1416,46650,46651.0,
2341,MS-S-008539,SCREW 6.5X40 MULTI-AXIAL . SANYO # 61115640,1170.0,1287,1416,46651,,
2342,MS-S-008540,SCREW 6.5X45 MULTI-AXIAL . SANYO # 61115645,1170.0,1287,1416,46651,,
2343,MS-S-008541,SCREW 6.5X50 MULTI-AXIAL . SANYO # 61115650,1170.0,1287,1416,46650,46651.0,
2344,MS-S-008542,SCREW 5.5X35 FIXED-ANGLE SANYO # 61116535,1057.5,1164,1281,46646,,
2345,MS-S-008543,SCREW 5.5X40 FIXED-ANGLE SANYO # 61116540,1057.5,1164,1281,46646,,
2346,MS-S-008544,SCREW 5.5X45 FIXED-ANGLE SANYO # 61116545,1057.5,1164,1281,46646,,
2347,MS-S-008545,SCREW 5.5X50 FIXED-ANGLE SANYO # 61116550,1057.5,1164,1281,46646,,
2348,MS-S-008548,SCREW 6.5X35 FIXED-ANGLE SANYO # 61116635,1057.5,1164,1281,46646,,
2349,MS-S-008549,SCREW 6.5X40 FIXED-ANGLE SANYO # 61116640,1057.5,1164,1281,46646,,
2350,MS-S-008550,SCREW 6.5X45 FIXED-ANGLE SANYO # 61116645,1057.5,1164,1281,46646,,
2351,MS-S-008551,SCREW 6.5X50 FIXED-ANGLE SANYO # 61116650,1057.5,1164,1281,46646,,
2352,MS-S-008553,SCREW CORTICAL 2.8MMX24 . OSTEONIC  # C6.28240,595.0,655,721,56642,,
2353,MS-S-008554,SCREW CANNULATED 2.2MM X 26 L HEADLESS.OSTEONIC#D1E.30226,1800.0,1980,2178,61688,,
2354,MS-S-008562,SCREW TROCHANTER 9X110MM. SANATMETAL # 254313110,918.0,1010,1111,62708,,
2355,MS-S-008563,"SUTURER ANCHOR BLUE HI-FI WHITE TAPE,ONE 2MM W/BLACK TAPE. CODMAN # YRC02STB",1800.0,1980,2178,45062,,
2356,MS-S-008564,SUTURE ANCHOR 4.75MM KNOTLESS CROSSFT. CODMAN # CFK-475S,2625.0,2888,3177,45062,,
2357,MS-S-008565,SCREW 1.5 SELFTAPPING L 8 TITANIUM. SYNTHES # 450320804C,1504.0,1655,1821,56642,,
2358,MS-S-008566,SCREW 1.5 SELF DRILLING L 6 TITANIUM. SYNTHES # 450322604C,1582.0,1741,1916,56642,,
2359,MS-S-008567,SCREW 1.5 SELF DRILLING L 8 TITANIUM. SYNTHES # 450322804C,1582.0,1741,1916,56642,,
2360,MS-S-008574,SYRINGE 3ML VELOX PREFILLED . INNO TERE BIOMATERIAL # 111VXE,5250.0,5775,6353,37589,,
2361,MS-S-008598,SLICE EXTENDED SANYO # 30111011,115.0,127,140,47502,,
2362,MS-S-008599,SCREW MULTI - AXIAL 7.0X35 SANYO # 61115735,414.0,456,502,46651,,
2363,MS-S-008600,SCREW MULTI - AXIAL 7.0X40 SANYO # 61115740,414.0,456,502,46651,,
2364,MS-S-008601,SCREW MULTI - AXIAL 7.0X45 SANYO # 61115745,414.0,456,502,56642,,
2365,MS-S-008602,SCREW MULTI - AXIAL 7.0X50 SANYO # 61115750,414.0,456,502,46651,,
2366,MS-S-008610,SCREW 5.5 SET OFF BREAK. SANYO # 61162001,375.0,413,455,56642,,
2367,MS-S-008621,SCREW CORTICAL 2.8MMX16. OSTEONIC # C5.28160,225.0,248,273,56642,,
2368,MS-S-008622,SCREW LOCKING 2.4MMX16 ANGLED VARIABLE. OSTEONIC  # B1G.24160,700.0,770,847,56642,,
2369,MS-S-008629,SCREW LOCKING 2.4MM X 20 ANGLED VARIABLE . OSTEONIC  # B1G.24200,700.0,770,847,47875,,
2370,MS-S-008633,"STENT EXPANDABLE SMARTFLEX OPEN ALL SIZES,SF0610MV#CORDIS CORDIS # SF06120MV",7875.0,8663,9530,63844,,
2371,MS-S-008634,"SUPER STIFF AMPLATZ WIRE 35""#502581A#CORDIS CORDIS # 502581A",200.0,220,242,35094,,
2372,MS-S-008636,SUTURE ANCHOR 4.5MM IMPLANT METAL TIP. CONMED # CM-9145SP,2775.0,3053,3359,45062,,
2373,MS-S-008641,"STENT VASCUFLEX MULTI-LOC-MULTIPLE STENT DELIVER SYSTEM FOR PERIPHERAL SPOT STENTING,SHORT SELF-EXPA",11970.0,13167,14484,57959,,
2374,MS-S-008642,SCREW LAG 6.5X100MM. IRENE # T40066500,525.0,578,636,56642,,
2375,MS-S-008643,SCREW LAG 6.5X105MM. IRENE # T40066505,525.0,578,636,56642,,
2376,MS-S-008644,SCREW LAG 6.5X110MM. IRENE # T40066510,525.0,578,636,56642,,
2377,MS-S-008645,SCREW LAG 6.5X70MM. IRENE # T40066570,525.0,578,636,56642,,
2378,MS-S-008646,SCREW LAG 6.5X75MM. IRENE # T40066575,525.0,578,636,56642,,
2379,MS-S-008647,SCREW LAG 6.5X80MM. IRENE # T40066580,525.0,578,636,56642,,
2380,MS-S-008648,SCREW LAG 6.5X85MM. IRENE # T40066585,525.0,578,636,56642,,
2381,MS-S-008649,SCREW LAG 6.5X90MM. IRENE # T40066590,525.0,578,636,56642,,
2382,MS-S-008650,SCREW LAG 6.5X95MM. IRENE # T40066595,525.0,578,636,56642,,
2383,MS-S-008659,SCREW CANELLOUS 4.0X12MM FULLY THREADED . IRENE # S52004012,59.5,66,73,56642,,
2384,MS-S-008660,SCREW CANELLOUS 4.0X14MM FULLY THREADED . IRENE # S52004014,59.5,66,73,56642,,
2385,MS-S-008661,SCREW CANELLOUS 4.0X48MM FULLY THREADED . IRENE # S52004048,85.0,94,104,56642,,
2386,MS-S-008662,SCREW CANELLOUS 4.0X50MM FULLY THREADED . IRENE # S52004050,85.0,94,104,56642,,
2387,MS-S-008663,SCREW CANELLOUS 4.0X52MM FULLY THREADED . IRENE # S52004052,85.0,94,104,56642,,
2388,MS-S-008664,SCREW CANELLOUS 4.0X54MM FULLY THREADED . IRENE # S52004054,85.0,94,104,56642,,
2389,MS-S-008665,SCREW CANELLOUS 4.0X56MM FULLY THREADED . IRENE # S52004056,85.0,94,104,56642,,
2390,MS-S-008666,SCREW CANELLOUS 4.0X58MM FULLY THREADED . IRENE # S52004058,85.0,94,104,56642,,
2391,MS-S-008667,SCREW CANELLOUS 4.0X60MM FULLY THREADED . IRENE # S52004060,85.0,94,104,56642,,
2392,MS-S-008673,SHAVER TIP DISSECTOR 3.8MMX 13CM ARTHREX # AR-8380DS-PC,780.0,858,944,53617,,
2393,MS-S-008674,SCREW CORTICAL 4.5X40 L SELF-TAPPING. SYNTHES # 214.840,312.55,344,379,45039,,
2394,MS-S-008675,SCREW CORTICAL 4.5X38 L SELF-TAPPING. SYNTHES # 214.838,312.55,344,379,45039,,
2395,MS-S-008676,SCREW CANNULATED 5X25 L SELF TAPPING. SYNTHES # 02.205.025,1005.0,1106,1217,61688,,
2396,MS-S-008677,SCREW LOCKING 5X38 L SELF TAPPING SYNTHES # 213.338,522.0,575,633,35642,,
2397,MS-S-008678,SCREW LOCKING 5X32 L SELF TAPPING SYNTHES # 213.332,522.0,575,633,35642,,
2398,MS-S-008679,SCREW LOCKING 5X18 L SELF TAPPING SYNTHES # 213.318,522.0,575,633,56642,,
2399,MS-S-008680,SCREW LOCKIING CANNULATED 7.3X20 L SELF TAPPING. SYNTHES # 02.207.020,1936.5,2131,2345,47875,,
2400,MS-S-008681,SCREW CONNECTION F/LOCKING . SYNTHES # 02.120.605,1599.8,1760,1936,63998,,
2401,MS-S-008682,SCREW LOCKING VA 3.5X32 L SELF TAPPING. SYNTHES # 02.127.132,902.0,993,1093,56642,,
2402,MS-S-008683,SCREW LOCKING VA 3.5X36 L SELF TAPPING. SYNTHES # 02.127.136,902.0,993,1093,56642,,
2403,MS-S-008684,SCREW LOCKING VA 3.5X38 L SELF TAPPING. SYNTHES # 02.127.138,902.0,993,1093,35642,,
2404,MS-S-008685,SCREW LOCKING VA 3.5X42 L SELF TAPPING. SYNTHES # 02.127.142,902.0,993,1093,35642,,
2405,MS-S-008687,STEM FEMORAL CEMENTLESS COATED 12/14 SIZE 10. JOH. & JOH. # 3L92510,6650.0,7315,8047,34191,,
2406,MS-S-008718,SCREW CORTICAL MINI 2.7MM X 34MM S/STEEL. TIPMED # 062080,40.0,44,49,56642,,
2407,MS-S-008719,SCREW CORTICAL MINI 2.7MM X 36MM S/STEEL. TIPMED # 062097,40.0,44,49,56642,,
2408,MS-S-008720,SCREW MALLEOLAR 4.5MMX35MM S/STEEL. TIPMED # 065944,112.5,124,137,56642,,
2409,MS-S-008721,"SUTURE WHITE / BLACK TIGER LINK 2/5 METRIC 26"" BRAIDED LOOP ON ONE END. ARTHREX # AR-7235T",903.0,994,1094,45025,,
2410,MS-S-008722,SUTURE ANCHOR PEEK PUSHLOCK 2.9X15.5MM  . ARTHREX # AR-1923PS,2595.25,2855,3141,65038,,
2411,MS-S-008736,"SCREW CANCELLOUS 3.5MM ,L 16MM SYNAPSE. SYNTHES # 04.615.016",2535.0,2789,3068,56642,,
2412,MS-S-008737,SCREW LOCKING ALL SIZE SYNAPSE. SYNTHES # 04.614.508S,736.0,810,891,63359,,
2413,MS-S-008742,"STAPES PROSTHESES,PLATINUM/PTES,STERILE SHAFT  0.6MMX4.25MM. SPIGGLE & THEIS # 10560425",874.5,962,1059,35674,,
2414,MS-S-008743,SCREW LOCKING 2.7MMX8MM SELF TAPPING. IRENE # T50092708,270.0,297,327,35642,,
2415,MS-S-008744,SCREW LOCKING 2.7MMX10MM SELF TAPPING. IRENE # T50092710,270.0,297,327,56642,,
2416,MS-S-008745,SCREW LOCKING 2.7MMX20MM SELF TAPPING. IRENE # T50092722,270.0,297,327,56642,,
2417,MS-S-008748,SCREW CORTICAL 2.7X6MM SELF TAPPING. IRENE # T50022706,108.5,120,132,56642,,
2418,MS-S-008749,SCREW CORTICAL 2.7X8MM SELF TAPPING. IRENE # T50027708,108.5,120,132,56642,,
2419,MS-S-008750,SCREW CORTICAL 2.7X10MM SELF TAPPING. IRENE # T50027710,108.5,120,132,43662,,
2420,MS-S-008751,SCREW CORTICAL 2.7X12MM SELF TAPPING. IRENE # T50027712,108.5,120,132,56642,,
2421,MS-S-008752,SCREW CORTICAL 2.7X14MM SELF TAPPING. IRENE # T50027714,108.5,120,132,56642,,
2422,MS-S-008753,SCREW CORTICAL 2.7X16MM SELF TAPPING. IRENE # T50027716,85.0,94,104,56642,,
2423,MS-S-008754,SCREW CORTICAL 2.7X18MM SELF TAPPING. IRENE # T50027718,108.5,120,132,56642,,
2424,MS-S-008755,SCREW CORTICAL 2.7X20MM SELF TAPPING. IRENE # T50027720,108.5,120,132,56642,,
2425,MS-S-008756,SCREW CORTICAL 2.7X22MM SELF TAPPING. IRENE # T50027722,108.5,120,132,32859,,
2426,MS-S-008757,SCREW CORTICAL 2.7X24MM SELF TAPPING. IRENE # T50027724,108.5,120,132,32859,,
2427,MS-S-008758,SHAVER TIP 4.2MM DISSECTOR . ARTHREX # AR-6420DS,903.0,994,1094,53617,,
2428,MS-S-008761,SUTURE ANCHOR 1.8MM Y-KNOT 2HI-FI # Y1802A / OR EQUIVALENT  SMITH & NEPHEW #25-1800,1800.0,1980,2178,45062,,
2429,MS-S-008762,STENT GRAFT ENDURANT II ILEXT 20MMX82MM MEDTRONIC #ETEW2020C82EE,30000.0,33000,36300,35281,,
2430,MS-S-008773,SCREW CORTICAL 2.7X26MM SELF TAPPING. IRENE # T50022726,108.5,120,132,32859,,
2431,MS-S-008774,SCREW CORTICAL 2.7X28MM SELF TAPPING. IRENE # T50022728,85.0,94,104,32859,,
2432,MS-S-008775,SCREW CORTICAL 2.7X30MM SELF TAPPING. IRENE # T50022730,85.0,94,104,56642,,
2433,MS-S-008776,SCREW LOCKING 2.7X6MM (SELF-TAPPING). IRENE # T50092706,270.0,297,327,56642,,
2434,MS-S-008777,SCREW LOCKING 2.7X12MM (SELF-TAPPING). IRENE # T50092712,270.0,297,327,56642,,
2435,MS-S-008778,SCREW LOCKING 2.7X14MM (SELF-TAPPING). IRENE # T50092714,270.0,297,327,56642,,
2436,MS-S-008779,SCREW LOCKING 2.7X16MM (SELF-TAPPING). IRENE # T50092716,270.0,297,327,35642,,
2437,MS-S-008780,SCREW LOCKING 2.7X18MM (SELF-TAPPING). IRENE # T50092718,270.0,297,327,35642,,
2438,MS-S-008781,SCREW LOCKING 2.7X20MM (SELF-TAPPING). IRENE # T50092722,270.0,297,327,43662,,
2439,MS-S-008782,SCREW LOCKING 2.7X24MM (SELF-TAPPING). IRENE # T50092724,270.0,297,327,35642,,
2440,MS-S-008784,SCREW LOCKING 2.7X26MM (SELF-TAPPING). IRENE # T50092726,270.0,297,327,56642,,
2441,MS-S-008785,SCREW LOCKING 2.7X28MM (SELF-TAPPING). IRENE # T50092728,270.0,297,327,56642,,
2442,MS-S-008786,SCREW LOCKING 2.7X30MM (SELF-TAPPING). IRENE # T50092730,270.0,297,327,43662,,
2443,MS-S-008787,SCREW LOCKING 2.7X35MM (SELF-TAPPING). IRENE # T50092735,270.0,297,327,43662,,
2444,MS-S-008788,SCREW LOCKING 2.7X40MM (SELF-TAPPING). IRENE # T50092740,270.0,297,327,35642,,
2445,MS-S-008789,SCREW LOCKING 2.7X45MM (SELF-TAPPING). IRENE # T50092745,270.0,297,327,35642,,
2446,MS-S-008790,SCREW LOCKING 2.7X50MM (SELF-TAPPING). IRENE # T50092750,270.0,297,327,35642,,
2447,MS-S-008791,SCREW LOCKING 2.7X55MM (SELF-TAPPING). IRENE # T50092755,270.0,297,327,35642,,
2448,MS-S-008792,SCREW LOCKING 2.7X60MM (SELF-TAPPING). IRENE # T50092760,270.0,297,327,35642,,
2449,MS-S-008807,SCREW CORTICAL 2.7MMX18MM. OSTEONIC # C5.28180,225.0,248,273,47875,,
2450,MS-S-008808,SCREW CORTICAL 2.7MMX22MM. OSTEONIC # C5.28220,225.0,248,273,56642,,
2451,MS-S-008812,STENT GRAFT COVERA FLAIRED#BARD-USA BARD # AALEOXXXX,18750.0,20625,22688,46689,,
2452,MS-S-008832,SCREW LEGACY 6.0X40MM  MAS TI . MEDTRONIC # 75446040,2100.0,2310,2541,46651,,
2453,MS-S-008833,SCREW LEGACY 5.5X40MM  MAS TI . MEDTRONIC # 75445540,1600.0,1760,1936,56642,,
2454,MS-S-008834,SCREW LEGACY 5.0X40MM  MAS TI . MEDTRONIC # 75445040,2450.0,2695,2965,46651,,
2455,MS-S-008835,SCREW LEGACY 5.0X35MM  MAS TI . MEDTRONIC # 75445035,2100.0,2310,2541,56642,,
2456,MS-S-008836,SCREW LEGACY 5.0X30MM  MAS TI . MEDTRONIC # 75445030,2100.0,2310,2541,46651,,
2457,MS-S-008837,SCREW LEGACY 5.5X35MM  MAS TI . MEDTRONIC # 75445535,2100.0,2310,2541,56642,,
2458,MS-S-008866,"STAPES PROSTHESES,PLATINUM / PTFE STERILE SHAFT 0.6MMX4.5MM . SPIGGLE & THEIS # 10560450",1166.0,1283,1412,35674,,
2459,MS-S-008907,SCREW CAPTURED 5.0X3 INTERNAL . SMITH&NEPHEW # 71642230,780.0,858,944,56642,,
2460,MS-S-008908,SCREW CAPTURED 5.0X4 INTERNAL . SMITH&NEPHEW # 71642245,780.0,858,944,56642,,
2461,MS-S-008909,SCREW CAPTURED 5.0X7 INTERNAL . SMITH&NEPHEW # 71642275,780.0,858,944,56642,,
2462,MS-S-008910,SCREW CAPTURED 5.0X9 INTERNAL . SMITH&NEPHEW # 71642295,780.0,858,944,56642,,
2463,MS-S-008920,SCREW BONE LOCKING 4.8X25MM . SANATMETAL # 932148025,175.0,193,213,56642,,
2464,MS-S-008921,SCREW BONE LOCKING 4.8X30MM . SANATMETAL # 932148030,175.0,193,213,56642,,
2465,MS-S-008922,SCREW BONE LOCKING 4.8X35MM . SANATMETAL # 932148035,175.0,193,213,62547,,
2466,MS-S-008923,SCREW BONE LOCKING 4.8X45MM . SANATMETAL # 932148045,175.0,193,213,56642,,
2467,MS-S-008924,SCREW BONE LOCKING 4.8X55MM . SANATMETAL # 932148055,175.0,193,213,56642,,
2468,MS-S-008925,SCREW BONE LOCKING 4.8X65MM . SANATMETAL # 932148065,175.0,193,213,62547,,
2469,MS-S-008926,SCREW BONE LOCKING 4.8X76MM . SANATMETAL # 932148076,175.0,193,213,56642,,
2470,MS-S-008927,SUTURE ANCHOR BIO COMPOSITE 4.5X14MM # AR-1927BCF-45 / OR EQUIVALENT  SMITH & NEPHEW #72203697,1158.0,1274,1402,65038,,
2471,MS-S-008932,STEM OFFST STANDARD SIZE 9 (COLLARLESS). JOH. & JOH. # 3L92509,5700.0,6270,6897,13180,,
2472,MS-S-008945,STEM FEMORAL CEMENTED SIZE 8 STANDARD NO COLLAR . JOH. & JOH. # L96408,5700.0,6270,6897,34191,,
2473,MS-S-008946,STRATRAFIX PDS SPIRAL 30CM. ETHICON # SXPP1B405,648.1125,713,785,16584,,
2474,MS-S-008947,SCREW BONE LOCKING 4.8X80MM SANATMETAL # 932148080,175.0,193,213,56642,,
2475,MS-S-008948,SCREW BONE LOCKING 4.8X85MM SANATMETAL # 932148085,175.0,193,213,56642,,
2476,MS-S-008949,SCREW BONE LOCKING 4.8X90MM SANATMETAL # 932148090,175.0,193,213,56642,,
2477,MS-S-008950,SCREW BONE LOCKING 4.8X100MM SANATMETAL # 932148100,245.0,270,297,56642,,
2478,MS-S-008957,STEM STD 11 REVISION CORAIL. JOH. & JOH. # L98011,11250.0,12375,13613,33581,,
2479,MS-S-008965,SCREW PANTA 5MMX30MM. INTEGRA LIFE SCIENCES # 501030,810.0,891,981,62708,,
2480,MS-S-008966,SCREW PANTA 5MMX65MM. INTEGRA LIFE SCIENCES # 501065,810.0,891,981,62708,,
2481,MS-S-008967,SCREW PANTA 5MMX40MM. INTEGRA LIFE SCIENCES # 501040,810.0,891,981,62708,,
2482,MS-S-008968,SCREW CORTICAL 2.7MMX14MM. OSTEONIC # C5.28140,225.0,248,273,56642,,
2483,MS-S-008971,SLEEVE SEQUENTIAL COMPRESSION SIZE LARGE THIGH LEG. LABTEK # LBTK500-L,397.5,438,482,58148,,
2484,MS-S-008972,SLEEVE SEQUENTIAL COMPRESSION SIZE MEDIUM THIGH LEG. LABTEK # LBTK500-M,397.5,438,482,58148,,
2485,MS-S-008973,SLEEVE SEQUENTIAL COMPRESSION SIZE MEDIUM LEG. LABTEK # LBTK502-M,397.5,438,482,58148,,
2486,MS-S-008974,SLEEVE SEQUENTIAL COMPRESSION SIZE LARGE LEG. LABTEK # LBTK502-L,397.5,438,482,58148,,
2487,MS-S-008975,SLEEVE SEQUENTIAL COMPRESSION SIZE X LARGE LEG. LABTEK # LBTK502-XL,397.5,438,482,58148,,
2488,MS-S-008976,SLEEVE SEQUENTIAL COMPRESSION FOOT . LABTEK # LBTK501,397.5,438,482,58148,,
2489,MS-S-008984,SCREW LOCKING 2.7MMX12MM SYNTHES # #02.211.012,933.0,1027,1130,56642,,
2490,MS-S-008986,SCREW LOCKING 2.7MMX14MM SYNTHES # #02.211.014,933.0,1027,1130,56642,,
2491,MS-S-008988,SCREW LOCKING 2.7MMX16MM SYNTHES SYNTHES # 02.211.016,931.5,1025,1128,56642,,
2492,MS-S-008994,SCREW POLAXIAL FENSTRED 6X35MM. JOH. & JOH. # 1797-26-635,2589.3,2849,3134,46651,,
2493,MS-S-008995,SCREW POLYAZIAL 6X4MM. JOH. & JOH. # 1797-12-640,1890.0,2079,2287,46651,,
