SERVICE CODE,SERVICE DESCRIPTION,الـوصـــــــــــــــــــف ,CASH  PRICE
7011028,CRANIOTOMY EXCISION OF SKULL BASE TUMOUR,فتح جمجمة واستئصال ورم فى قاعدة الجمجمة,68767.0
7011029,CRANIOTOMY EXCISION OF SUPERFICIAL  POSTERIOR FOSSA TUMOUR,فتح جمجمة واستئصال ورم سطحى من الجزء الخلفى للمخ,37247.0
7011030,CRANIOTOMY FOR EVACUATION OF EXTRADURAL HEMATOMA,فتح لعظام الجمجمة وتفريغ لنزيف خارج الام الجافية,22185.0
7011031,CRANIOTOMY FOR SURGICAL DIPPING OF CEREBRAL ANEURYSM,فتح لعظام الجمجمة وتدبيس لالم بالمخ,85680.0
7011032,DEEP BRAIN STIMULATION EXCLUDING THE IMPLANTS,تحفيز عميق للمخ ( غير متضمن المستهلكات)  ,76500.0
7011033,ENDOSCOPIC EVACUATION OF ACUTE SUBDURAL HEMATOMA,تفريغ نزيف تحت الالم الجافية باستخدام المنظار,29970.0
7011034,ENDOSCOPIC EVACUATION OF CHRONIC SUBDURAL COLLECTION – BILATERAL,تفريغ نزيف مزمن تحت الام الخلفية بالمنظار الجراحى - جهتين,29361.0
7011035,ENDOSCOPIC EVACUATION OF CHRONIC SUBDURAL COLLECTION – UNILATERAL,تفريغ نزيف مزمن تحت الالم الجافية بالمنظار الجراحى - جهة واحدة,27540.0
7011036,ENDOSCOPIC EVACUATION OF INTRACEREBRAL HEMATOMA,تفريغ نزيف داخل المخ باستخدام المنظار الجراحى,39087.0
7011037,ENDOSCOPIC EXCISION OF INTRA-VENTRICULAR TUMOUR,استئصال ورم بتجاديف المخ باستخدام المنظار,59274.0
7011038,ENDOSCOPIC MANAGEMENT OF HYDROCEPHALUS,العلاج التنظيري لماء الراس ,35244.0
7011039,ENDOSCOPY FOR THE MANAGEMENT OF HYDROCEPHALUS,علاج استسقاء المخ باستخدام المنظار الجراحى,28350.0
7011040,ENDOVASCULAR INTERVENTION FOR CEREBRO-VASCULAR LESION,علاج للاوعية الدموية المخية باستخدام الاشعة التراجاما,60476.0
7011041,EVACUATION OF  CHRONIC SUBDURAL HEMATOMA / BILATERAL,تفريغ نزيف مزمن تحت الام الجافية (جانبين),22185.0
7011042,EVACUATION OF CHRONIC SUBDURAL HEMATOMA / UNILATERAL,تفريغ نزيف مزمن تحت الام الجافية (ناحية واحدة),14094.0
7011043,EXCISION OF  BASAL ENCEPHACOLE,استئصال عوصلة بقاع الجمجمة ,38556.0
7011044,EXCISION OF CEREBRAL ARTERIOVENOUS MALFORMATION,استئصال التشوهات الوريدية الشريانية المخية,59675.0
7011045,EXCISION OF SCALP SWELLING OR TUMOUR,استئصال ورم بفروة الراس,9465.0
7011046,EXCISION OF SKULL VAULT ENCEPHALOCELE,استئصال حوصلة بقاع الجمجمة ( بغطاء الجمجمة ),27945.0
7011047,EXCISION OF SKULL VAULT TUMOUR,استئصال ورم بغطاء الجمجمة,17595.0
7011048,FONTO-ORBITAL ADVANCEMENT FOR CRANIOSYNOSTOIS,تحريك / تقديم بالجمجمة لعلاج التصاق عظام الجمجمة المبكر,59675.0
7011049,INSERTION OF  EXTERNAL VENTRICULAR DRAIN,وضع مصرف خارجى للسائل النخاعى عن طريق البطين المخى,9900.0
7011050,INSERTION OF INTRACRANIAL PRESSURE MONITOR,وضع جهاز متابعة لضغط المخ,9900.0
7011051,INSERTION OF INTRACRANIAL PRESSURE MONITORING CATHETER,قسطرة قياس ضغط المخ,17978.0
7011052,MICRVASCULAR DECOMPRESSION FOR HEMIFACIAL SPASM,تشريح دقيق لازالة ضغط العصب فى تشنج نصف الوجه,68767.0
7011053,MICRVASCULAR DECOMPRESSION OF TRIGEMINAL NERVE,تشريح دقيق لازالة ضغط عن العصب المثلث التوام,68767.0
7011054,MOTOR CORTEX STIMULATION (IMPLANTS NOT INCLUDED),تحفيز القسطرة الحركية ( غير متضمن المستهلكات),55080.0
7011055,REMOVAL DBS – EXTENSION ELECTRODES,إزالة تطويلات أقطاب محفز أعماق المخ ,22950.0
7011056,REMOVAL DBS ELECTRODES,إزالة أقطاب محفز أعماق المخ ,22950.0
7011057,REMOVAL OF MOTOR CORTEX STIMULATION (MCS) – ELECTRODES (WITH CRANIOTOMY),إزالة أقطاب محفز القشرة الحركية ,40050.0
7011058,REMOVAL OF  MOTOR CORTEX STIMULATION (MCS) EXTENSION ELECTRODES,إزالة تطويلات أقطاب محفز القشرة الحركية ,22950.0
7011059,REMOVAL OF OCCIPITAL NERVE STIMULATOR (ONS) – EXTENSION ELECTRODES,إزالة تطويلات أقطاب محفز العصب القذالي الأكبر,19125.0
7011060,REMOVAL OF OCCIPITAL NERVE STIMULATOR (ONS) ELECTRODES,إزالة أقطاب محفز العصب القذالي الأكبر ,19125.0
7011061,REMOVAL  OF PERIPHERAL NERVE STIMULATOR (PNS) – ELECTRODES,إزالة أقطاب محفز أعصاب طرفية,15840.0
7011062,REMOVAL   OF PERIPHERAL NERVE STIMULATOR (PNS) – EXTENSION ELECTRODES,إزالة تطويلات أقطاب محفز أعصاب طرفية ,15840.0
7011063,REMOVAL OF SPINAL CORD STIMULATOR (SCS) ELECTRODES,إزالة أقطاب محفز الحبل الشوكي ,19125.0
7011064,REMOVAL  OF SPINAL CORD STIMULATOR (SCS) EXTENSION ELECTRODES,إزالة تطويلات أقطاب محفز الحبل الشوكي ,19125.0
7011065,REMOVAL OF VAGUS NERVE STIMULATOR (VNS) – EXTENSION ELECTRODES,إزالة تطويلات أقطاب محفز العصب الغامض,19125.0
7011066,REMOVAL OF VAGUS NERVE STIMULATOR (VNS) ELECTRODES,إزالة أقطاب محفز العصب الغامض,22950.0
7011067,REPAIR OF COMPOUND SKULL FRACTURE,اصلاح كسر مضاعف بعظام الجمجمة,18338.0
7011068,REPAIR OF SCALP INJURY UNDER GENERAL ANAESTHESIA,تصليح جرح بفروة الراس تحت مخدر عام,11088.0
7011069,REPAIR OF SIMPLE SKULL FRACTURE,اصلاح كسر بعظام الجمجمة,17978.0
7011070,REPAIR OF SKULL FRACTURE WITH DAMAGED BRAIN TISSUE,اصلاح كسور بالجمجمة مع تهتك باغشية الدماغ,27540.0
7011071,SIMPLE SKULL OSTEOTOMY FOR CRANIOSYNOSTOIS,فتحة بسيطة بالجمجمة لعلاج التصاق عظام الجمجمة المبكر,22568.0
7011072,SKULL BASE REVISION FOR CSF FISTULA,استكشاف قاع الجمجمة لتشخيص تسرب السائل النخاعى,29970.0
7011073,STEREOTACTIC BIOPSY BRAIN,أخذ عينة دماغية لمسية,55080.0
7011074,TANS-SPHENOIDAL EXCISION OF SELLAR TUMOUR,استئصال ورم بالغدة النخامية عن طريق الجيوب الانفية,68175.0
7011075,UNILATERAL EXTERNAL VENTRICULAR DRAINAGE,مفجر بطنى خارجى وحيد الجانب,15444.0
7011076,VENTRICULO-PERITONEAL OR VENTRICULO ATRIAL SHUNT,تحويلة بطنية برتوانى او بطنى شريانى,17978.0
7011077,VENTRICULO-PERITONEAL SHUNT INSERTION,تركيب جهاز تصريف سائل نخاعى من المخ الى البطن,14094.0
7012001,"ANTERIOR OR ANTEROLATERAL VERTEB, RESECTION AND STABILIZATION",تثبيت امامى للعمود الفقرى,55269.0
7012002,ANTERIOR THORACIC CORPECTOMY AND STABILIZATION,استئصال وتثبيت الجزعة الصدرية للفقرات الصدرية,62478.0
7012003,ANTEROLATERAL THORACO – LUMBER APPROACH – SINGLE LEVEL WITH FUSION,تثبيت امامى جانبى للفقرات الصدرية القطنية مستوى واحد,68767.0
7012004,CERVICAL DECOMPRESSIVE LAMINECTOMY,استئصال عظمى لتحرير ضغط بالفقرات العتفية,35244.0
7012005,CERVICAL DISCECTOMY ANTERIOR APPROACH –  MORE THAN 2 LEVELS WITH FUSION,المقاربة الامامية لاستئصال الديسك الرقبى مع تثبيت لعدة مستويات,55269.0
7012006,CERVICAL DISCECTOMY ANTERIOR APPROACH – 1 LEVEL WITH FUSION,المقاربة الامامية لاستئصال الديسك الرقبى مع تثبيت لمستوى واحد ,44615.0
7012007,CERVICAL DISCECTOMY ANTERIOR APPROACH – 1 LEVEL WITHOUT FUSION,المقاربة الدماغية لاستئصال الديسك الرقبى مستوى واحد بدون تثبيت,36353.0
7012008,CERVICAL DISCECTOMY ANTERIOR APPROACH – 2 LEVELS WITH FUSION,المقاربة الامامية لاستئصال الديسك الرقبى مع تثبيت لمستويين ,51665.0
7012009,CERVICAL MICRODISCECTOMY WITH FUSION / SINGLE LEVEL,استئصال غضروف عنقى مع تثبيت للفقرات,37861.0
7012010,CERVICAL MICRODISCECTOMY WITHOUT FUSION / SINGLE LEVEL,استئصال عضروف عنقى - مستوى واحد,31590.0
7012011,"CRANIECTOMY, BRAIN DISSECTION WITH HAEMATOMA EVAUCATION",فتح جمجمى - منحنى لاستئصال ورم دموى,27419.0
7012012,CT GUIDED ASPIRATION OF INTRA-CEREBRAL COLLECTION,البزل داخل المخ الموجه بالتصويب الطبقى الجدرى,27419.0
7012013,DECOMPRESSIVE THORACIC LAMINECTOMY,استئصال الصفائح مع تحرير للفقرات الصدرية,28872.0
7012014,EACH ADDITIONAL LEVEL ANTEROLATERAL THORACO APPROACH,تداخل امامى جانبى لمستويات متعددة للفقرات الصدرية,11088.0
7012015,EACH ADDITIONAL LEVEL CERVICAL DISC EXESION / FUSION,اى مستوى اضافى فى فقرات العنق,7090.0
7012016,EACH ADDITIONAL LEVEL LUMBER DISC EXCESION / FUSION,اى مستوى اضافى فى الفقرات القطنية,6289.0
7012017,EXCISION OF LESIONS INTRASPINAL EXTRADURAL/CERVICAL,استئصال ورم داخل القناة العصبية وخارج الحبل الشوكى بالمنطقة العنقية,41652.0
7012018,EXCISION OF LESIONS INTRASPINAL EXTRADURAL/DORSAL,استئصال ورم داخل القناة العصبية وخارج الحبل الشوكى بالمنطقة الصدرية,41652.0
7012019,EXCISION OF LESIONS INTRASPINAL EXTRADURAL/LUMBAR,استئصال ورم داخل القناة العصبية وخارج الحبل الشوكى بالمنطقة القطنية,31590.0
7012020,EXCISION OF LESIONS INTRASPINAL EXTRADURAL/SACRAL,استئصال ورم داخل القناة العصبية وخارج الحبل الشوكى بالمنطقة العصبية,31590.0
7012021,EXCISION OF LESIONS INTRASPINAL INTRADURAL/CERVICAL,استئصال ورم بالحبل الشوكى بالمنطقة العنقية,48861.0
7012022,EXCISION OF LESIONS INTRASPINAL INTRADURAL/DORSAL,استئصال ورم بالحبل الشوكى بالمنطقة الصدرية,44814.0
7012023,EXCISION OF LESIONS INTRASPINAL INTRADURAL/LUMBAR,استئصال ورم بالحبل الشوكى بالمنطقة القطنية,33642.0
7012024,EXPLORATION OF RADIAL NERVE WITH EXTERNAL NEUROSIS,استكشاف العصب الكعبرى واستئصال تجمع عصبى ,22185.0
7012025,IMPLANTATION OF INTRATHECAL PUMP EXCLUDING THE PUMP,زراعة مضخة داخل الفراغ القرابي ( غير متضمن المضخة) ,32400.0
7012026,INTRATHECAL BACLOFEN INJECTION/SCREENING PROCEDURE,زراعة مضخة داخل قرابين _ اجراء التحري ,15840.0
7012027,KHYPOPLASTY (PER LEVEL) BILATERAL,دأب الحدبة (لكل مستوى) ثنائي الحركة,56070.0
7012028,KYPHOPLASTY (PER LEVEL) UNILATERAL,دأب الحدبة (لكل مستوى) أحادي الجهه ,48060.0
7012029,"LAMINECTOPLASTY / LAMINECTOMY FOR SPINAL TUMOR FOCAL (MENINGIOMA, NEUROMA)",استئصال عظمى بالفقرات لعلاج ورم موضعى بالحبل الشوكى,44814.0
7012030,"LAMINECTOPLASTY L LAMINECTOMY FOR SPINAL TUMOR DIFUSE (GLIOMA, EPENDYMOMA)",استئصال عظمى بالفقرات لعلاج ورم منتشر بالحبل الشوكى,68886.0
7012031,LATERAL APPROACH TO THORACIC DISCECTOMY,المقاربة الجانبية لاستئصال الديسك الصدرى,54468.0
7012032,LUMBAR DECOMPRESSIVE LAMINECTOMY AND DISCECTOMY – MORE THAN TWO LEVELS,استئصال غضروفى وتحرير ضغط الفقرات القطنية - لاكثر من مستوى,30294.0
7012033,LUMBAR DECOMPRESSIVE LAMINECTOMY AND DISCECTOMY – ONE LEVEL,استئصال غضروفى وتحرير ضغط الفقرات القطنية - مستوى واحد,24327.0
7012034,LUMBAR DECOMPRESSIVE LAMINECTOMY AND DISCECTOMY – TWO LEVELS,استئصال غضروفى وتحرير ضغط الفقرات القطنية - مستويين,28458.0
7012035,LUMBAR FENESTRATION MICRODISCECTOMY – ONE LEVEL BILATERAL,استئصال غضروفى قطنى بالجراحة الميكروسكوبية  لمستوى واحد - لجهتين,21803.0
7012036,LUMBAR FENESTRATION MICRODISCECTOMY – ONE LEVEL UNILATERAL,استئصال غضروفى قطنى بالجراحة الميكروسكوبية لمستوى واحد بجهة واحدة,18743.0
7012037,LUMBAR FENESTRATION MICRODISCECTOMY – THREE LEVELS BILATERAL,استئصال غضروفى قطنى بالجراحة الميكروسكوبية لثلاث مستويات - بجهتين,44055.0
7012038,LUMBAR FENESTRATION MICRODISCECTOMY – THREE LEVELS UNILATERAL,استئصال غضروفى قطنى بالجراحة الميكروسكوبية لثلاث مستويات - بجهة واحدة,29970.0
7012039,LUMBAR FENESTRATION MICRODISCECTOMY – TWO LEVELS BILATERAL,استئصال غضروفى قطنى بالجراحة الميكروسكوبية لمستويين - بجهتين,31185.0
7012040,LUMBAR FENESTRATION MICRODISCECTOMY – TWO LEVELS UNILATERAL,استئصال غضروفى قطنى بالجراحة الميكروسكوبية لمستويين - بجهة واحدة,21803.0
7012041,LUMBER MICRODISECTOMY WITH FUSION / SINGLE LEVEL,استئصال غضروف قطنى مع تثبيت للفقرات,28350.0
7012042,LUMBER MICRODISECTOMY WITHOUT FUSION / SINGLE LEVEL,استئصال غضروف قطنى ,18360.0
7012043,MICROSCOPIC BRAIN EXCISION OF EPILEPTIC FOCUS,الاستئصال المجهرى ,55150.0
7012044,MICROSCOPIC TOTAL SUPRASELLAR TUMOUR EXCISION THROUGH SUBFRONTAL APPROACH WITH FRONTAL CRANIOTOMY,أستئصال مجهري لورم فوق السرج عبر فتح الجمجمة تحت القفص الجبهي,41533.0
7012045,"MYELOMENINGOCELE REPAIR, MAJOR DEFECT",اصلاح عيب حوصلى للسائل النخاعى (كبيرة),28350.0
7012046,"MYELOMENINGOCELE REPAIR, MINOR DEFECT",اصلاح عيب حوصلى للسائل النخاعى (صغيرة),22185.0
7012047,PERCUTANEOUS FIXATION WITHOUT SCREW WITH IMPLANT ,تثبيت الفقرات عن طريق الجلد بدون صفائح و مسامير ,56070.0
7012048,POSTERIOR CERVICAL NERVE ROOT DECOMPRESSION – 2 NERVE ROOTS,تحرير عصب عنقى من الجهة الخلفية - عصب واحد,34043.0
7012049,POSTERIOR CERVICAL NERVE ROOT DECOMPRESSION – MORE THAN 2 NERVE ROOTS,تحرير عصب عنقى من الجهة الخلفية - اكثر من عصب,43254.0
7012050,POSTERIOR CERVICAL NERVE ROOT DECOMPRESSION – ONE NERVE ROOT,تحرير عصب عنقى من الجهة الخلفية - عصبين,29565.0
7012051,POSTERIOR FUSION AND STABILIZATION,تثبيت خلفى للعمود الفقرى,42453.0
7012052,POSTERIOR RHIZOTOMY,بضع الجذور الخلفية ,40050.0
7012053,RE-FENESTRATION AND MICRODISCECTOMY,استئصال غضروف مرتجع,24480.0
7012054,REFILL OF INTRATHECAL PUMP (EXCLUDING THE MEDICATION),إعادة تعبئة مضخة داخل قرابية (غير متضمن ثمن الدواء),7920.0
7012055,RE-LAMINECTOMY FOR LUMBAR CANAL STENOSIS –  MORE THAN TWO LEVELS,استئصال عظمى التوسيع تضيق بقناة الفقرات القطنية - لاكثر من مستوى,30780.0
7012056,RE-LAMINECTOMY FOR LUMBAR CANAL STENOSIS – ONE LEVEL,استئصال عظمى التوسيع تضيق بقناة الفقرات القطنية - مستوى واحد,27540.0
7012057,RE-LAMINECTOMY FOR LUMBAR CANAL STENOSIS – TWO LEVELS,استئصال عظمى التوسيع تضيق بقناة الفقرات القطنية - مستويين,28350.0
7012058,REMOVAL NEURO-STIMULATOR,إزالة محفز عصبي ,22950.0
7012059,REPAIR OF MENINGOMYELOCELE MAJOR,تصليح قيلة نخاعية سحائية كبيرة,38048.0
7012060,"REPAIR OF MENINGOMYELOCELE, MINOR DEFECT",تصليح قيلة نخاعية سحائية صغيرة,23715.0
7012061,REPAIR OF OCCULT SPINAL DYSRAPHISM,إصلاح خلل الرفاء الشوكي ,34443.0
7012062,SELECTIVE DORSAL RHIZOTOMY FOR SPASTICITY,بضع الجذور الخلفية الانتقالي لعلاج الشلل التشنجي ,40050.0
7012063,SPINAL CORD STIMULATION (EXCLUDING IMPLANTS),تحفيز الحبل الشوكي ( غير متضمن المستهلكات),30906.0
7012064,SPINAL STENOSIS / INTER LAMINAR DECOMPRESSION / LAMINECTOMY,توسيع للقناة العصبية الشوكية,21420.0
7012065,SPINAL STENOSIS / INTER LAMINAR DECOMPRESSION / LAMINECTOMY WITH DISCECTOMY,توسيع للقناة العصبية الشوكية واستئصال للغضروف,28350.0
7012066,THECO-PERITONEAL SHUNT,تحويلة دماغية بربتوانية,37247.0
7013001,BILATERAL CARPAL TUNNEL NEUROLYSIS,افتكاك العصب بالنفق الرسغي على الناحيتين ,13770.0
7013002,BRACHIAL PLEXUS DECOMPRESSION,تحرير الضفيرة العضدية,29849.0
7013003,CARPEL TUNNEL SYNDROME DECOMPRESSION BILATERAL ,عمليات تحرير نفق الرسغ للجهتين,6008.0
7013004,CARPEL TUNNEL SYNDROME DECOMPRESSION UNILATERAL,عمليات تحرير نفق الرسغ,4820.0
7013005,DIRECT PERINEURAL NERVE REPAIR,تصليح حول العصب الحالى,22836.0
7013006,INTERFASICULAR REPAIR,تصليح الحزم العصبية الداخلية,30659.0
7013007,NERVE GRAFTING (WITHOUT GRAFT),ترقيع العصب (بدون الرقعة),23333.0
7013008,NERVE GRAFTS – AUTO GRAFTS ,ترقيع العصب ,32841.0
7013009,NERVE NEUROLYSIS,تحليل العصب,18246.0
7013010,NERVE REPAIR (ONE NERVE), اصلاح عصب واحد,18743.0
7013011,NERVE REPAIR MAJOR ,ترميم عصب كبير ,23715.0
7013012,NERVE TRANSFERS ,نقل مسار الأعصاب  ,33642.0
7013013,"NERVE TRANSPOSITION, OLD SCAR  ",تغيير مسار الأعصاب ,28350.0
7013014,"NEUROLYSIS, OLD REPAIR, EXPLORATION ",إستكشاف وتحرير عصب نتيجة إصابة قديمة  ,23715.0
7013015,NEUROMA EXCISION TREATMENT ,علاج جراحي لورم الأعصاب ,28350.0
7013016,OLD PERINEURAL NERVE REPAIR,تصليح حول العصب القديم,25131.0
7013017,PERIPHERAL NERVE STIMULATION (EXCLUDING IMPLANTS),تحفيز العصب الطرفي( غير متضمن المستهلكات),33642.0
7013018,RELEASE OF CUBITAL TUNNEL SYNDROME,تحرير قيلا زنة النفق,15722.0
7013019,RELEASE OF ULNAR NERVE ENTRAPMENT AT WRIST,تسليك اختناق العصب الزندي فى الرسخ,13194.0
7013020,SELECTIVE PERIPHERAL NEURECTOMY (ONE LIMB),بضع عصب طرفي انتقالي (طرف واحد),15840.0
7013021,SUBCUTANEOUS FIELD STIMULATION,تحفيز منطقة تحت جلدية ,32400.0
7013022,VAGAL NERVE STIMULATOR ( IMPLANTS NOT INCLUDED ),تحفيز العصب الغامض ( غير متضمن المستهلكات) ,56070.0
7013023,CRANIOTOMY & EVACUATION OF ACUTE SUBDURAL HEMATOMA / POOR GRADE/ W/OUT IMPLANT,فتح قحف الرأس وإخلاء ورم دموي تحت الجافية الحاد / درجة رديئة /بدون التركيبات,58500.0
7013024,EXTENSIVE DECOM. CRANIECTOMY + INSERTION OF BONE FLAP IN ABD. WALL-W/OUT IMPLANT, استئصال القحف تحت الضغط واسع النطاق. + إدخال رفرف عظمي في جدار البطن -/بدون التركيبات,108000.0
7013025,CRANIOTOMY & EVACUATION OF POSTERIOR FOSSA EPEDURAL HEMATOMA - W/OUT IMPLANT,فتح قحف الرأس وإخلاء ورم دموي في الفراغ الخلفي في الحفرة فوق الجافية -/بدون التركيبات,36000.0
7013026,CRANIOTOMY & EVACUATION OF INTRACEREBRAL HEMATOMA - POOR GRADE - W/OUT IMPLANT,فتح قحف الرأس وإخلاء ورم دموي داخل المخ - درجة رديئة - /بدون التركيبات,56250.0
7013027,CRANIOTOMY & EVACUATION OF INTRACEREBELLAR HEMATOMA - GOOD GRADE - W/OUT IMPLANT,فتح قحف الرأس وإخلاء ورم دموي داخل المخيخ - درجة جيدة - /بدون التركيبات,46800.0
7013028,CRANIOTOMY & EVACUATION OF INTRACEREBELLAR HEMATOMA - POOR GRADE - W/OUT IMPLANT,فتح قحف الرأس وإخلاء ورم دموي داخل المخيخ - درجة رديئة - /بدون التركيبات,67500.0
7013029,AWAKE CRANIOTOMY FOR BRAIN TUMOUR  - W/OUT IMPLANT,فتح قحف الرأس /  مستيقظًا / لورم الدماغ -  /بدون التركيبات,67500.0
7013030,DECOMPRESSION OF OPTIC NERVE - OPTIC CANAL PART  - W/OUT IMPLANT,تخفيف الضغط على العصب البصري - جزء القناة البصرية - /بدون التركيبات,67500.0
7013031,OPTIC NERVE SHEETH FENESTRATION  - / W/OUT IMPLANT,فتح نافذة لغشاء العصب البصري - /بدون التركيبات,67500.0
7013032,EXCISION OF BASAL ENCEPHALOCELE  - W/OUT IMPLANT,استئصال القشرة الدماغية القاعدية - /بدون التركيبات,49500.0
7013033,CRANIAL VAULT REMODELING FOR CRANIOSYNOSTOIS  - W/OUT IMPLANT,إعادة تشكيل قبو الجمجمة لمرض تعظم الدروز الباكر - /بدون التركيبات,67500.0
7013034,TRANSFONTANEL  INTRAVENTRICULAR TAP,فتح صنبور عبر اليافوخ خلال البطين,7200.0
7013035,VP SHUNT REVISION (PROXIMAL REVISION)  - W/OUT IMPLANT,مراجعة التحويلة البطينية الصفاقية (المراجعة القريبة) - /بدون التركيبات,25200.0
7013036,VP-SHUNT REVISION (DISTAL REVISION)  - W/OUT IMPLANT,مراجعة التحويلة البطينية الصفاقية (المراجعة البعيدة) - /بدون التركيبات,22500.0
7013037,VP-SHUNT REVISION (COMPLETE REVISION)  - W/OUT IMPLANT,مراجعة التحويلة البطينية الصفاقية (المراجعة الكاملة) - /بدون التركيبات,36000.0
7013038,TRIGEMINAL NERVE RADIOFREQUENCY ABALATION,استئصال بالترددات الراديوية للعصب الثلاثي,40500.0
7013039,SURGERY FOR UNUSUAL NERVE ENTRAPMENT OR INJURY,جراحة لإصابة غير عادية في الأعصاب,36000.0
7013040,RESECTION OF PERIPHERAL NERVE TUMOR,استئصال ورم العصب المحيطي,40500.0
7013041,RESECTION OF BRACHIAL PLEXUS TUMOR,استئصال ورم الضفيرة العضدية,54000.0
7013042,RESECTION OF LUMBOSACRAL PLEXUS TUMOR,استئصال ورم الضفيرة القطنية العجزية,54000.0
7013043,SELECTIVE DORSAL ROOT RHIZOTOMY FOR SPASTICITY - 1 TO 2 LEVELS,شق الجذور الانتقائي الجذري للتشنج - من 1 إلى 2 مستويات,72000.0
7013044,SELECTIVE DORSAL ROOT RHIZOTOMY FOR SPASTICITY - EACH ADDITIONAL LEVELS,شق الجذور الانتقائي الجذري للتشنج - لكل مستوى إضافي,13500.0
7013045,DISC NUCLEOPLASTY  - ONE LEVEL - W/OUT IMPLANT,رأب النوى القرصي - مستوى واحد  - /بدون التركيبات,14400.0
7013046,CERVICAL/LUMBAR INTRA DISCAL CHEMONUCLEOLYSIS - ONE LEVEL,التحلل الكيميائي للقرص الرقبي / القطني - مستوى واحد,27000.0
7013047,CERVICAL/LUMBAR INTRA DISCAL CHEMONUCLEOLYSIS - TWO LEVELS,التحلل الكيميائي للقرص الرقبي / القطني - مستويان,36000.0
7013048,LUMBAR DECOMPRESSIVE LAMINECTOMY FOR CANAL STENOSIS - ONE LEVEL,استئصال الصفيحة الفقرية القطنية لتضيق القناة - مستوى واحد,31500.0
7013049,LUMBAR DECOMPRESSIVE LAMINECTOMY FOR CANAL STENOSIS - TWO LEVELS,استئصال الصفيحة الفقرية القطنية لتضيق القناة - مستويان,40500.0
7013050,LUMBAR DECOMPRESSIVE LAMINECTOMY FOR CANAL STENOSIS - THREE LEVELS,استئصال الصفيحة الفقرية القطنية لتضيق القناة - ثلآث مستويات,49500.0
7013051,LUMBAR DECOMPRESSIVE LAMINECTOMY FOR CANAL STENOSIS - MORE THAN THREE LEVELS,استئصال الصفيحة الفقرية القطنية لتضيق القناة - أكثر من ثلآث مستويات,58500.0
7013052,ANTEROLAT./POSTERIOLAT. THORACIC/LUMBAR CORPECTOMY - ONE LEVEL - W/OUT IMPLANT,جراحة استئصال الفقرة من الصدر القطني / الخلفي الأمامي / الخلفي - مستوى واحد - /بدون التركيبات,54000.0
7013053,ANTEROLAT./POSTERIOLAT. THORACIC/LUMBAR CORPECTOMY - EACH ADDITIONAL LEVEL,جراحة استئصال الفقرة من الصدر القطني / الخلفي الأمامي / الخلفي - لكل مستوى إضافي,13500.0
7013054,INSERTION OF CERVICAL DISC PROSTHESIS - ONE LEVEL  - W/OUT IMPLANT,إدخال طرف صناعي لفقرات الرقبة - مستوى واحد- /بدون التركيبات,63000.0
7013055,INSERTION OF CERVICAL DISC PROSTHESIS - TWO LEVELS  -W/OUT IMPLANT,إدخال طرف صناعي لفقرات الرقبة - مستويان - /بدون التركيبات,76500.0
7013056,POSTERIOR CERVICAL FUSION AND INSTRUMENTATION - ONE LEVEL ,انصهار لفقرات الرقبة من الناحية الخلفية باستعمال الأجهزة- مستوى واحد,58500.0
7013057,FOR EACH ADDITIONAL LEVEL OF POSTERIOR CERVICAL FUSION AND INSTRUMENTATION ,انصهار لفقرات الرقبة من الناحية الخلفية باستعمال الأجهزة - لكل مستوى إضافي,13500.0
7013058,ODONTOID SCREW FIXATION  - W/OUT IMPLANT,التثبيت اللولبي السني - /بدون التركيبات,90000.0
7013059,CERVICAL VERTERBRAL CORDECTOMY +  FUSION WITH CAGE - ONE LEVEL - W/OUT IMPLANT,استئصال الفقرات الرقبة + الانصهار مع القفص - مستوى واحد  - /بدون التركيبات,67500.0
7013060,CERVICAL VERTERBRAL CORDECTOMY + FUSION W/CAGE - EACH ADDITIONAL. LEVEL,استئصال الفقرات الرقبة + الانصهار مع القفص - لكل مستوى إضافي,13500.0
7013061,ANTERIOR CERVICAL FIXATION - ONE LEVEL - W/OUT IMPLANT,تثبيت  الفقرات الرقبة الأمامي - مستوى واحد   - /بدون التركيبات,54000.0
7013062,ANTERIOR CERVICAL FIXATION - EACH ADDITIONAL LEVEL,تثبيت  الفقرات الرقبة الأمامي  - لكل مستوى إضافي,13500.0
7013063,REDUCTION OF CERVICAL FACET DISLOCATION WITH TRACTION DEVICE  - W/OUT IMPLANT,إعادة سحب خلع الفقرات الرقبة باستخدام جهاز السحب  - /بدون التركيبات,13500.0
7013064,EXCISION OF LESION INTRASPINAL - INTRADURAL -INTRAMEDULLARY,استئصال الآفة داخل النخاع الشوكي -  تحت الجافية-داخل النخاع,63000.0
7013065,POSTERIOR THORACOLUMBAR FUSION AND STABILIZATION - ONE LEVEL - W/OUT IMPLANT,انصهار وتثبيت صدري قطني خلفي - مستوى واحد   - /بدون التركيبات,59625.0
7013066,POSTERIOR FUSION AND STABILIZATION - EACH ADDITIONAL LEVEL,انصهار وتثبيت خلفي  - لكل مستوى إضافي,13500.0
7013067,PERCUTANEOUS POSTERIOR FUSION & STABILIZATION - ONE LEVEL ,انصهار وتثبيت خلفي عبر الجلد - مستوى واحد,68400.0
7013068,PERCUTANEOUS POSTERIOR FUSION & STABILIZATION - EACH ADDITIONAL LEVEL,انصهار وتثبيت خلفي عبر الجلد  - لكل مستوى إضافي,13500.0
